InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536381,2010-12-01 09:41:00,15311.0,SC1603,Shoes,1,12.15,Uganda,12.15,2010-12,2010-12,1
536398,2010-12-01 10:52:00,13448.0,SC6254,Shoes,2,2.05,Uganda,4.1,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC5076,Shoes,37,68.9,Uganda,2549.3,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC4588,Shoes,74,21.42,Uganda,1585.0800000000002,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC2061,Shoes,10,15.01,Uganda,150.1,2010-12,2010-12,1
536573,2010-12-01 15:45:00,17025.0,SC8320,Shoes,83,27.68,Uganda,2297.44,2010-12,2010-12,1
536580,2010-12-01 16:17:00,17690.0,SC7417,Shoes,44,18.7,Uganda,822.8,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC3858,Shoes,99,58.66,Uganda,5807.339999999999,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC6873,Shoes,68,80.18,Uganda,5452.240000000001,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC8195,Shoes,34,14.88,Uganda,505.92,2010-12,2010-12,1
536742,2010-12-02 13:14:00,16916.0,SC2833,Shoes,8,54.9,Uganda,439.2,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC8745,Shoes,1,38.36,Uganda,38.36,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5842,Shoes,57,33.01,Uganda,1881.57,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1881,Shoes,92,32.1,Uganda,2953.2000000000003,2010-12,2010-12,1
537023,2010-12-03 16:02:00,16725.0,SC7398,Shoes,39,37.6,Uganda,1466.4,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC2244,Shoes,74,35.71,Uganda,2642.54,2010-12,2010-12,1
537046,2010-12-05 10:58:00,18109.0,SC9863,Shoes,21,73.4,Uganda,1541.4,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC4956,Shoes,100,54.99,Uganda,5499.0,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC2343,Shoes,9,42.16,Uganda,379.44,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC5300,Shoes,97,32.07,Uganda,3110.79,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7511,Shoes,65,35.0,Uganda,2275.0,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC5633,Shoes,10,64.98,Uganda,649.8000000000001,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC9407,Shoes,8,23.98,Uganda,191.84,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC6342,Shoes,92,70.04,Uganda,6443.68,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC6940,Shoes,79,77.79,Uganda,6145.410000000001,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC9056,Shoes,16,32.24,Uganda,515.84,2010-12,2010-12,1
537218,2010-12-05 15:46:00,12763.0,SC7282,Shoes,29,78.48,Uganda,2275.92,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2428,Shoes,51,27.66,Uganda,1410.66,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC2544,Shoes,28,59.8,Uganda,1674.4,2010-12,2010-12,1
537226,2010-12-06 08:34:00,15987.0,SC9430,Shoes,66,15.73,Uganda,1038.18,2010-12,2010-12,1
537231,2010-12-06 09:21:00,13652.0,SC6822,Shoes,55,79.64,Uganda,4380.2,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC9060,Shoes,86,30.52,Uganda,2624.72,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC9066,Shoes,49,94.48,Uganda,4629.52,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC7968,Shoes,38,47.05,Uganda,1787.9,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC8345,Shoes,77,18.71,Uganda,1440.67,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC9899,Shoes,14,52.0,Uganda,728.0,2010-12,2010-12,1
537489,2010-12-07 11:33:00,17017.0,SC7824,Shoes,31,42.47,Uganda,1316.57,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC7274,Shoes,52,71.33,Uganda,3709.16,2010-12,2010-12,1
537627,2010-12-07 14:58:00,14739.0,SC3589,Shoes,10,37.16,Uganda,371.6,2010-12,2010-12,1
537634,2010-12-07 15:15:00,16775.0,SC1503,Shoes,86,19.41,Uganda,1669.26,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC4948,Shoes,56,65.24,Uganda,3653.44,2010-12,2010-12,1
537648,2010-12-07 15:48:00,12839.0,SC9720,Shoes,77,4.2,Uganda,323.40000000000003,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC4902,Shoes,85,32.2,Uganda,2737.0000000000005,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC4808,Shoes,78,2.91,Uganda,226.98,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC9760,Shoes,14,46.16,Uganda,646.24,2010-12,2010-12,1
537822,2010-12-08 14:22:00,13523.0,SC1104,Shoes,55,4.03,Uganda,221.65,2010-12,2010-12,1
537842,2010-12-08 15:12:00,13140.0,SC7540,Shoes,98,88.82,Uganda,8704.359999999999,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC9949,Shoes,56,57.35,Uganda,3211.6,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC5561,Shoes,4,59.01,Uganda,236.04,2010-12,2010-12,1
537889,2010-12-09 10:04:00,13319.0,SC9159,Shoes,33,18.35,Uganda,605.5500000000001,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC5768,Shoes,49,74.12,Uganda,3631.88,2010-12,2010-12,1
538053,2010-12-09 13:34:00,15856.0,SC5991,Shoes,60,2.29,Uganda,137.4,2010-12,2010-12,1
538156,2010-12-09 16:53:00,15555.0,SC3125,Shoes,82,72.9,Uganda,5977.8,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC5754,Shoes,40,90.38,Uganda,3615.2,2010-12,2010-12,1
538181,2010-12-10 10:08:00,17076.0,SC2909,Shoes,36,36.32,Uganda,1307.52,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC1118,Shoes,12,78.17,Uganda,938.04,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC1577,Shoes,71,87.8,Uganda,6233.8,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC8880,Shoes,49,54.14,Uganda,2652.86,2010-12,2010-12,1
538403,2010-12-12 11:46:00,17211.0,SC3361,Shoes,51,96.76,Uganda,4934.76,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC3811,Shoes,91,83.78,Uganda,7623.98,2010-12,2010-12,1
538519,2010-12-12 16:20:00,18037.0,SC1298,Shoes,79,21.82,Uganda,1723.78,2010-12,2010-12,1
538525,2010-12-13 09:39:00,12540.0,SC4027,Shoes,10,67.36,Uganda,673.6,2010-12,2010-12,1
538625,2010-12-13 12:50:00,14544.0,SC3609,Shoes,67,22.08,Uganda,1479.36,2010-12,2010-12,1
538655,2010-12-13 15:16:00,17375.0,SC6984,Shoes,82,62.23,Uganda,5102.86,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC8331,Shoes,30,27.75,Uganda,832.5,2010-12,2010-12,1
538707,2010-12-14 10:38:00,17894.0,SC5716,Shoes,13,23.44,Uganda,304.72,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC7817,Shoes,10,40.46,Uganda,404.6,2010-12,2010-12,1
538853,2010-12-14 13:35:00,16805.0,SC1364,Shoes,26,12.95,Uganda,336.7,2010-12,2010-12,1
538866,2010-12-14 14:40:00,17841.0,SC5281,Shoes,17,20.45,Uganda,347.65,2010-12,2010-12,1
538886,2010-12-14 16:07:00,13846.0,SC3645,Shoes,91,14.68,Uganda,1335.88,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC6440,Shoes,17,35.82,Uganda,608.94,2010-12,2010-12,1
538951,2010-12-15 11:26:00,16782.0,SC4109,Shoes,52,57.89,Uganda,3010.28,2010-12,2010-12,1
539034,2010-12-15 14:29:00,16161.0,SC5039,Shoes,23,15.2,Uganda,349.6,2010-12,2010-12,1
539047,2010-12-15 16:03:00,15290.0,SC4981,Shoes,58,55.66,Uganda,3228.28,2010-12,2010-12,1
539185,2010-12-16 11:53:00,16470.0,SC5829,Shoes,83,49.31,Uganda,4092.73,2010-12,2010-12,1
539261,2010-12-16 14:34:00,15620.0,SC9550,Shoes,80,34.76,Uganda,2780.8,2010-12,2010-12,1
539305,2010-12-16 17:37:00,14334.0,SC9971,Shoes,2,83.52,Uganda,167.04,2010-12,2010-12,1
539317,2010-12-16 19:04:00,17392.0,SC3194,Shoes,55,68.34,Uganda,3758.7,2010-12,2010-12,1
539320,2010-12-16 19:16:00,14911.0,SC2501,Shoes,17,29.31,Uganda,498.27,2010-12,2010-12,1
539334,2010-12-17 10:12:00,12748.0,SC6073,Shoes,83,63.9,Uganda,5303.7,2010-12,2010-12,1
539353,2010-12-17 11:30:00,12782.0,SC5771,Shoes,62,24.21,Uganda,1501.02,2010-12,2010-12,1
539422,2010-12-17 14:23:00,13033.0,SC2646,Shoes,75,25.6,Uganda,1920.0,2010-12,2010-12,1
539463,2010-12-19 11:19:00,18077.0,SC9109,Shoes,93,86.22,Uganda,8018.46,2010-12,2010-12,1
539475,2010-12-19 14:41:00,16686.0,SC8747,Shoes,56,22.44,Uganda,1256.64,2010-12,2010-12,1
539478,2010-12-19 15:07:00,17343.0,SC2472,Shoes,39,17.79,Uganda,693.81,2010-12,2010-12,1
539501,2010-12-20 11:08:00,17085.0,SC2609,Shoes,93,24.46,Uganda,2274.78,2010-12,2010-12,1
539587,2010-12-20 13:10:00,14298.0,SC1468,Shoes,19,66.07,Uganda,1255.33,2010-12,2010-12,1
539588,2010-12-20 13:11:00,14527.0,SC9591,Shoes,59,76.02,Uganda,4485.179999999999,2010-12,2010-12,1
539607,2010-12-20 14:10:00,12681.0,SC4637,Shoes,28,57.79,Uganda,1618.12,2010-12,2010-12,1
539607,2010-12-20 14:10:00,12681.0,SC2700,Shoes,60,17.04,Uganda,1022.4,2010-12,2010-12,1
539642,2010-12-20 15:35:00,15867.0,SC6294,Shoes,44,58.18,Uganda,2559.92,2010-12,2010-12,1
539663,2010-12-21 10:26:00,17961.0,SC5116,Shoes,33,24.0,Uganda,792.0,2010-12,2010-12,1
539754,2010-12-21 16:06:00,12748.0,SC3611,Shoes,95,30.43,Uganda,2890.85,2010-12,2010-12,1
539766,2010-12-22 11:11:00,14092.0,SC7176,Shoes,88,88.59,Uganda,7795.92,2010-12,2010-12,1
539840,2010-12-22 14:28:00,12383.0,SC9179,Shoes,75,33.72,Uganda,2529.0,2010-12,2010-12,1
539946,2010-12-23 11:46:00,13817.0,SC5655,Shoes,45,80.22,Uganda,3609.9,2010-12,2010-12,1
539982,2010-12-23 14:40:00,15311.0,SC3911,Shoes,51,15.01,Uganda,765.51,2010-12,2010-12,1
540028,2011-01-04 13:38:00,14180.0,SC8439,Shoes,9,93.73,Uganda,843.57,2011-01,2011-01,1
