InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC7777,Sports Equipment,21,69.39,Uganda,1457.19,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1538,Sports Equipment,22,42.04,Uganda,924.88,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC4297,Sports Equipment,49,70.14,Uganda,3436.86,2010-12,2010-12,1
536416,2010-12-01 11:58:00,13255.0,SC2088,Sports Equipment,5,46.33,Uganda,231.65,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC8585,Sports Equipment,91,68.36,Uganda,6220.76,2010-12,2010-12,1
536567,2010-12-01 15:27:00,16048.0,SC1143,Sports Equipment,55,62.37,Uganda,3430.35,2010-12,2010-12,1
536605,2010-12-02 08:52:00,13715.0,SC8107,Sports Equipment,97,67.8,Uganda,6576.599999999999,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC3144,Sports Equipment,55,9.28,Uganda,510.4,2010-12,2010-12,1
536634,2010-12-02 11:21:00,18041.0,SC1424,Sports Equipment,31,65.43,Uganda,2028.33,2010-12,2010-12,1
536746,2010-12-02 13:39:00,16510.0,SC4509,Sports Equipment,3,53.71,Uganda,161.13,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC8313,Sports Equipment,80,81.45,Uganda,6516.0,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC6336,Sports Equipment,36,28.72,Uganda,1033.92,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC8810,Sports Equipment,55,82.85,Uganda,4556.75,2010-12,2010-12,1
536842,2010-12-02 18:45:00,17552.0,SC3441,Sports Equipment,63,77.95,Uganda,4910.85,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC3295,Sports Equipment,82,29.09,Uganda,2385.38,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC9748,Sports Equipment,6,97.62,Uganda,585.72,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2602,Sports Equipment,73,70.2,Uganda,5124.6,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC4163,Sports Equipment,11,3.04,Uganda,33.44,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC4480,Sports Equipment,83,30.34,Uganda,2518.22,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC2178,Sports Equipment,1,88.39,Uganda,88.39,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC6703,Sports Equipment,84,61.26,Uganda,5145.84,2010-12,2010-12,1
537051,2010-12-05 11:12:00,15708.0,SC3631,Sports Equipment,22,47.92,Uganda,1054.24,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC3560,Sports Equipment,27,72.51,Uganda,1957.77,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC3613,Sports Equipment,60,60.03,Uganda,3601.8,2010-12,2010-12,1
537142,2010-12-05 12:57:00,12748.0,SC6883,Sports Equipment,57,65.94,Uganda,3758.58,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC1452,Sports Equipment,82,25.86,Uganda,2120.52,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC7396,Sports Equipment,7,86.68,Uganda,606.76,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC5323,Sports Equipment,41,52.64,Uganda,2158.24,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC6874,Sports Equipment,26,55.48,Uganda,1442.48,2010-12,2010-12,1
537193,2010-12-05 13:49:00,15023.0,SC4629,Sports Equipment,67,52.46,Uganda,3514.82,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC3571,Sports Equipment,65,47.19,Uganda,3067.35,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC8303,Sports Equipment,90,30.76,Uganda,2768.4,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC2171,Sports Equipment,22,80.8,Uganda,1777.6,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC3560,Sports Equipment,39,79.97,Uganda,3118.83,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC4905,Sports Equipment,72,69.17,Uganda,4980.24,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC6308,Sports Equipment,28,55.1,Uganda,1542.8,2010-12,2010-12,1
537370,2010-12-06 12:44:00,13155.0,SC9360,Sports Equipment,39,92.59,Uganda,3611.01,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC2421,Sports Equipment,81,30.82,Uganda,2496.42,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC8594,Sports Equipment,42,85.21,Uganda,3578.82,2010-12,2010-12,1
537393,2010-12-06 13:59:00,13089.0,SC7529,Sports Equipment,77,35.17,Uganda,2708.09,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC8051,Sports Equipment,80,51.05,Uganda,4084.0,2010-12,2010-12,1
537435,2010-12-06 16:58:00,17920.0,SC1225,Sports Equipment,78,15.06,Uganda,1174.68,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC2719,Sports Equipment,42,23.73,Uganda,996.66,2010-12,2010-12,1
537470,2010-12-07 10:47:00,15018.0,SC6675,Sports Equipment,1,21.03,Uganda,21.03,2010-12,2010-12,1
537608,2010-12-07 13:20:00,15024.0,SC1163,Sports Equipment,88,35.03,Uganda,3082.6400000000003,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC4832,Sports Equipment,46,30.04,Uganda,1381.84,2010-12,2010-12,1
537808,2010-12-08 13:23:00,15311.0,SC1510,Sports Equipment,25,96.03,Uganda,2400.75,2010-12,2010-12,1
537871,2010-12-08 17:20:00,12748.0,SC4021,Sports Equipment,75,13.66,Uganda,1024.5,2010-12,2010-12,1
537915,2010-12-09 10:55:00,12797.0,SC2951,Sports Equipment,49,62.6,Uganda,3067.4,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC8388,Sports Equipment,83,1.98,Uganda,164.34,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC6935,Sports Equipment,51,78.28,Uganda,3992.28,2010-12,2010-12,1
538013,2010-12-09 12:37:00,17062.0,SC8845,Sports Equipment,71,83.64,Uganda,5938.44,2010-12,2010-12,1
538035,2010-12-09 13:03:00,16065.0,SC9298,Sports Equipment,29,53.12,Uganda,1540.48,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC8675,Sports Equipment,51,97.04,Uganda,4949.04,2010-12,2010-12,1
538145,2010-12-09 16:08:00,15211.0,SC9337,Sports Equipment,22,88.12,Uganda,1938.64,2010-12,2010-12,1
538145,2010-12-09 16:08:00,15211.0,SC7215,Sports Equipment,6,95.1,Uganda,570.5999999999999,2010-12,2010-12,1
538183,2010-12-10 10:21:00,16265.0,SC5008,Sports Equipment,68,9.76,Uganda,663.68,2010-12,2010-12,1
538248,2010-12-10 12:14:00,18116.0,SC4484,Sports Equipment,54,86.24,Uganda,4656.96,2010-12,2010-12,1
538311,2010-12-10 13:48:00,12785.0,SC3287,Sports Equipment,17,82.99,Uganda,1410.83,2010-12,2010-12,1
538312,2010-12-10 13:48:00,16727.0,SC6791,Sports Equipment,26,26.93,Uganda,700.18,2010-12,2010-12,1
538370,2010-12-12 11:06:00,16923.0,SC1092,Sports Equipment,82,38.74,Uganda,3176.6800000000003,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC5452,Sports Equipment,48,22.63,Uganda,1086.24,2010-12,2010-12,1
538420,2010-12-12 12:03:00,12875.0,SC9871,Sports Equipment,78,56.95,Uganda,4442.1,2010-12,2010-12,1
