InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC3876,Toys,54,91.23,Uganda,4926.42,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC5790,Toys,61,24.7,Uganda,1506.7,2010-12,2010-12,1
536381,2010-12-01 09:41:00,15311.0,SC8391,Toys,73,87.25,Uganda,6369.25,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC4578,Toys,94,92.5,Uganda,8695.0,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7100,Toys,28,3.91,Uganda,109.48,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC5764,Toys,65,45.29,Uganda,2943.85,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC2358,Toys,71,73.0,Uganda,5183.0,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC4904,Toys,43,19.19,Uganda,825.1700000000001,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC5609,Toys,9,26.37,Uganda,237.33,2010-12,2010-12,1
536739,2010-12-02 13:08:00,14180.0,SC1348,Toys,45,54.83,Uganda,2467.35,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC9067,Toys,60,6.36,Uganda,381.6,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC4519,Toys,16,3.38,Uganda,54.08,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5039,Toys,53,57.1,Uganda,3026.3,2010-12,2010-12,1
536799,2010-12-02 16:00:00,17228.0,SC7999,Toys,47,74.95,Uganda,3522.65,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC6368,Toys,45,41.7,Uganda,1876.5,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC5127,Toys,14,90.17,Uganda,1262.38,2010-12,2010-12,1
536985,2010-12-03 14:40:00,15373.0,SC1811,Toys,25,25.83,Uganda,645.75,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC5651,Toys,86,86.68,Uganda,7454.48,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC6555,Toys,5,53.49,Uganda,267.45,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC2484,Toys,61,38.56,Uganda,2352.1600000000003,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2963,Toys,44,34.63,Uganda,1523.72,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC4987,Toys,29,32.06,Uganda,929.74,2010-12,2010-12,1
537206,2010-12-05 15:02:00,15235.0,SC9069,Toys,72,60.76,Uganda,4374.72,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2751,Toys,46,2.18,Uganda,100.28,2010-12,2010-12,1
