InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536396,2010-12-01 10:51:00,17850.0,SC7498,Cloths,94,32.92,Zambia,3094.48,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC5271,Cloths,74,64.68,Zambia,4786.320000000001,2010-12,2010-12,1
536404,2010-12-01 11:29:00,16218.0,SC5718,Cloths,58,65.0,Zambia,3770.0,2010-12,2010-12,1
536477,2010-12-01 12:27:00,16210.0,SC9897,Cloths,42,53.6,Zambia,2251.2000000000003,2010-12,2010-12,1
536537,2010-12-01 13:51:00,15922.0,SC3308,Cloths,4,9.46,Zambia,37.84,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC7015,Cloths,6,31.34,Zambia,188.04,2010-12,2010-12,1
536591,2010-12-01 16:58:00,14606.0,SC3919,Cloths,59,10.12,Zambia,597.0799999999999,2010-12,2010-12,1
536615,2010-12-02 10:09:00,14047.0,SC3669,Cloths,73,50.58,Zambia,3692.34,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC4655,Cloths,7,82.35,Zambia,576.4499999999999,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC2914,Cloths,13,43.09,Zambia,560.1700000000001,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC7570,Cloths,61,47.96,Zambia,2925.56,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC7138,Cloths,10,61.61,Zambia,616.1,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4845,Cloths,59,28.22,Zambia,1664.98,2010-12,2010-12,1
536751,2010-12-02 14:05:00,17850.0,SC4926,Cloths,25,56.24,Zambia,1406.0,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC5868,Cloths,54,22.33,Zambia,1205.82,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC1108,Cloths,8,3.38,Zambia,27.04,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC7936,Cloths,64,97.14,Zambia,6216.96,2010-12,2010-12,1
536944,2010-12-03 12:20:00,12557.0,SC9846,Cloths,15,9.72,Zambia,145.8,2010-12,2010-12,1
537038,2010-12-05 10:12:00,15465.0,SC2612,Cloths,80,68.19,Zambia,5455.2,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC9635,Cloths,31,79.29,Zambia,2457.99,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC7828,Cloths,48,3.77,Zambia,180.96,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC8666,Cloths,81,34.8,Zambia,2818.8,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC9930,Cloths,15,99.62,Zambia,1494.3000000000002,2010-12,2010-12,1
