InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536373,2010-12-01 09:02:00,17850.0,SC3132,Cosmetics,22,71.55,Zambia,1574.1,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC4345,Cosmetics,5,75.48,Zambia,377.4,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC9753,Cosmetics,40,30.23,Zambia,1209.2,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC1797,Cosmetics,36,80.53,Zambia,2899.08,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC3006,Cosmetics,24,39.6,Zambia,950.4,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC1719,Cosmetics,22,63.4,Zambia,1394.8,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC5030,Cosmetics,33,20.54,Zambia,677.8199999999999,2010-12,2010-12,1
536533,2010-12-01 13:31:00,16955.0,SC6127,Cosmetics,65,90.22,Zambia,5864.3,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC7214,Cosmetics,83,84.48,Zambia,7011.84,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC4296,Cosmetics,95,92.43,Zambia,8780.85,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC3066,Cosmetics,27,68.26,Zambia,1843.02,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC6578,Cosmetics,50,76.92,Zambia,3846.0,2010-12,2010-12,1
536639,2010-12-02 11:45:00,15111.0,SC9375,Cosmetics,15,55.28,Zambia,829.2,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC5082,Cosmetics,95,7.43,Zambia,705.85,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC2966,Cosmetics,21,70.06,Zambia,1471.26,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC7393,Cosmetics,75,26.81,Zambia,2010.75,2010-12,2010-12,1
536974,2010-12-03 13:59:00,12682.0,SC5926,Cosmetics,87,87.0,Zambia,7569.0,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC8154,Cosmetics,16,17.59,Zambia,281.44,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC8898,Cosmetics,99,42.49,Zambia,4206.51,2010-12,2010-12,1
537055,2010-12-05 11:45:00,16814.0,SC5530,Cosmetics,50,88.51,Zambia,4425.5,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC9874,Cosmetics,91,26.65,Zambia,2425.15,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC5421,Cosmetics,47,30.19,Zambia,1418.93,2010-12,2010-12,1
537160,2010-12-05 13:18:00,14161.0,SC1908,Cosmetics,4,90.1,Zambia,360.4,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC1357,Cosmetics,51,92.75,Zambia,4730.25,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC7337,Cosmetics,5,30.72,Zambia,153.6,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC3321,Cosmetics,12,70.16,Zambia,841.92,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC7951,Cosmetics,51,25.78,Zambia,1314.78,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC3248,Cosmetics,6,64.14,Zambia,384.84,2010-12,2010-12,1
537248,2010-12-06 10:36:00,15899.0,SC8523,Cosmetics,64,17.84,Zambia,1141.76,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC3298,Cosmetics,39,34.0,Zambia,1326.0,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC6278,Cosmetics,52,13.16,Zambia,684.32,2010-12,2010-12,1
537404,2010-12-06 14:46:00,17191.0,SC2165,Cosmetics,68,91.08,Zambia,6193.44,2010-12,2010-12,1
537419,2010-12-06 15:14:00,13495.0,SC2738,Cosmetics,34,34.03,Zambia,1157.02,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2290,Cosmetics,95,50.53,Zambia,4800.35,2010-12,2010-12,1
537459,2010-12-07 09:57:00,17470.0,SC4122,Cosmetics,4,65.86,Zambia,263.44,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC9529,Cosmetics,82,56.62,Zambia,4642.84,2010-12,2010-12,1
537464,2010-12-07 10:14:00,14907.0,SC7624,Cosmetics,30,66.51,Zambia,1995.3,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC4536,Cosmetics,84,68.61,Zambia,5763.24,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC6353,Cosmetics,89,82.4,Zambia,7333.6,2010-12,2010-12,1
537628,2010-12-07 15:02:00,16293.0,SC6398,Cosmetics,9,33.43,Zambia,300.87,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC5681,Cosmetics,83,39.94,Zambia,3315.02,2010-12,2010-12,1
537673,2010-12-08 09:49:00,12709.0,SC9210,Cosmetics,100,5.4,Zambia,540.0,2010-12,2010-12,1
537772,2010-12-08 12:35:00,18043.0,SC7880,Cosmetics,22,47.72,Zambia,1049.84,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC1359,Cosmetics,92,93.78,Zambia,8627.76,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC1624,Cosmetics,16,22.45,Zambia,359.2,2010-12,2010-12,1
537827,2010-12-08 14:43:00,15332.0,SC1431,Cosmetics,8,70.33,Zambia,562.64,2010-12,2010-12,1
537829,2010-12-08 14:46:00,15498.0,SC3749,Cosmetics,45,11.84,Zambia,532.8,2010-12,2010-12,1
