InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536394,2010-12-01 10:39:00,13408.0,SC5258,Electronics,3,14.92,Zambia,44.76,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC3871,Electronics,36,32.98,Zambia,1187.28,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2627,Electronics,13,16.19,Zambia,210.47000000000003,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC3652,Electronics,3,33.96,Zambia,101.88,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4566,Electronics,2,42.7,Zambia,85.4,2010-12,2010-12,1
536609,2010-12-02 09:41:00,17850.0,SC1526,Electronics,1,99.13,Zambia,99.13,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC1055,Electronics,13,77.15,Zambia,1002.95,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC2789,Electronics,45,72.51,Zambia,3262.9500000000003,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6980,Electronics,53,13.79,Zambia,730.87,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC9801,Electronics,87,14.06,Zambia,1223.22,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC2195,Electronics,8,70.07,Zambia,560.56,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC4283,Electronics,18,30.69,Zambia,552.4200000000001,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC9512,Electronics,33,39.03,Zambia,1287.99,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC1438,Electronics,97,71.68,Zambia,6952.960000000001,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC3509,Electronics,49,42.15,Zambia,2065.35,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC1227,Electronics,8,44.22,Zambia,353.76,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2540,Electronics,14,18.75,Zambia,262.5,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC7829,Electronics,31,65.56,Zambia,2032.36,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC2064,Electronics,69,49.98,Zambia,3448.62,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC5341,Electronics,35,43.63,Zambia,1527.0500000000002,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC6818,Electronics,21,39.59,Zambia,831.3900000000001,2010-12,2010-12,1
