InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536412,2010-12-01 11:49:00,17920.0,SC3402,Furniture,98,25.75,Zambia,2523.5,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC6993,Furniture,92,67.81,Zambia,6238.52,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2542,Furniture,67,81.75,Zambia,5477.25,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4407,Furniture,12,60.25,Zambia,723.0,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5633,Furniture,55,66.01,Zambia,3630.55,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC5205,Furniture,10,77.15,Zambia,771.5,2010-12,2010-12,1
536611,2010-12-02 09:43:00,15752.0,SC2224,Furniture,72,69.3,Zambia,4989.599999999999,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC2689,Furniture,15,48.13,Zambia,721.95,2010-12,2010-12,1
536627,2010-12-02 10:53:00,15658.0,SC7839,Furniture,86,92.71,Zambia,7973.059999999999,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC5386,Furniture,64,50.17,Zambia,3210.88,2010-12,2010-12,1
536790,2010-12-02 15:26:00,17850.0,SC5487,Furniture,50,65.76,Zambia,3288.0000000000005,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9807,Furniture,50,86.02,Zambia,4301.0,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC7142,Furniture,89,12.39,Zambia,1102.71,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC9976,Furniture,43,80.35,Zambia,3455.05,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC3636,Furniture,81,38.19,Zambia,3093.39,2010-12,2010-12,1
537086,2010-12-05 12:01:00,15332.0,SC5889,Furniture,11,4.34,Zambia,47.74,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2023,Furniture,54,17.97,Zambia,970.38,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2865,Furniture,34,39.25,Zambia,1334.5,2010-12,2010-12,1
537155,2010-12-05 13:05:00,12748.0,SC6877,Furniture,66,49.28,Zambia,3252.48,2010-12,2010-12,1
537192,2010-12-05 13:42:00,16402.0,SC1496,Furniture,83,98.38,Zambia,8165.54,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2806,Furniture,26,13.65,Zambia,354.90000000000003,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC8019,Furniture,9,66.16,Zambia,595.4399999999999,2010-12,2010-12,1
537209,2010-12-05 15:12:00,14606.0,SC6031,Furniture,17,76.97,Zambia,1308.49,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC9675,Furniture,1,68.47,Zambia,68.47,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC9890,Furniture,71,31.02,Zambia,2202.42,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC4335,Furniture,73,8.31,Zambia,606.63,2010-12,2010-12,1
537312,2010-12-06 11:42:00,14189.0,SC8080,Furniture,52,33.11,Zambia,1721.72,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC1902,Furniture,79,21.63,Zambia,1708.77,2010-12,2010-12,1
537409,2010-12-06 15:00:00,15194.0,SC3110,Furniture,60,11.42,Zambia,685.2,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC5084,Furniture,20,20.51,Zambia,410.2000000000001,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC5957,Furniture,37,11.02,Zambia,407.74,2010-12,2010-12,1
537614,2010-12-07 13:29:00,16904.0,SC9696,Furniture,21,70.63,Zambia,1483.23,2010-12,2010-12,1
537622,2010-12-07 14:30:00,13173.0,SC5052,Furniture,89,28.52,Zambia,2538.28,2010-12,2010-12,1
537691,2010-12-08 10:39:00,13842.0,SC1914,Furniture,69,42.7,Zambia,2946.3,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC1972,Furniture,38,34.66,Zambia,1317.08,2010-12,2010-12,1
537867,2010-12-08 16:48:00,16717.0,SC7728,Furniture,84,72.71,Zambia,6107.639999999999,2010-12,2010-12,1
538015,2010-12-09 12:49:00,13240.0,SC5077,Furniture,67,38.99,Zambia,2612.33,2010-12,2010-12,1
538064,2010-12-09 13:47:00,15271.0,SC7160,Furniture,76,41.52,Zambia,3155.5200000000004,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC7283,Furniture,84,97.18,Zambia,8163.120000000001,2010-12,2010-12,1
538080,2010-12-09 14:28:00,17646.0,SC4247,Furniture,16,51.1,Zambia,817.6,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC8665,Furniture,19,99.54,Zambia,1891.26,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC3627,Furniture,66,44.02,Zambia,2905.32,2010-12,2010-12,1
538155,2010-12-09 16:52:00,16907.0,SC4257,Furniture,28,13.23,Zambia,370.44,2010-12,2010-12,1
538171,2010-12-09 20:01:00,17530.0,SC9619,Furniture,41,72.63,Zambia,2977.83,2010-12,2010-12,1
538198,2010-12-10 11:01:00,17827.0,SC6635,Furniture,79,11.92,Zambia,941.68,2010-12,2010-12,1
538364,2010-12-10 17:26:00,14448.0,SC8515,Furniture,10,64.81,Zambia,648.1,2010-12,2010-12,1
