InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536375,2010-12-01 09:32:00,17850.0,SC1723,Jewelry,34,82.55,Zambia,2806.7,2010-12,2010-12,1
536375,2010-12-01 09:32:00,17850.0,SC8910,Jewelry,44,81.44,Zambia,3583.36,2010-12,2010-12,1
536390,2010-12-01 10:19:00,17511.0,SC8969,Jewelry,84,14.01,Zambia,1176.84,2010-12,2010-12,1
536525,2010-12-01 12:54:00,14078.0,SC3341,Jewelry,7,85.57,Zambia,598.99,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC8142,Jewelry,6,1.59,Zambia,9.54,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC2692,Jewelry,39,24.68,Zambia,962.52,2010-12,2010-12,1
536598,2010-12-02 07:48:00,13090.0,SC4772,Jewelry,84,71.16,Zambia,5977.44,2010-12,2010-12,1
536628,2010-12-02 10:54:00,17850.0,SC6021,Jewelry,89,51.59,Zambia,4591.51,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC7585,Jewelry,36,84.18,Zambia,3030.4800000000005,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC2795,Jewelry,55,84.35,Zambia,4639.25,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC5483,Jewelry,93,51.1,Zambia,4752.3,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC7054,Jewelry,36,38.61,Zambia,1389.96,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC4328,Jewelry,98,1.95,Zambia,191.1,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC5207,Jewelry,66,29.35,Zambia,1937.1,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC2218,Jewelry,75,93.07,Zambia,6980.249999999999,2010-12,2010-12,1
536938,2010-12-03 12:05:00,14680.0,SC1642,Jewelry,87,35.45,Zambia,3084.15,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC3776,Jewelry,74,4.24,Zambia,313.76,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC8335,Jewelry,63,46.39,Zambia,2922.57,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC2169,Jewelry,47,88.68,Zambia,4167.96,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC8228,Jewelry,36,15.32,Zambia,551.52,2010-12,2010-12,1
537158,2010-12-05 13:10:00,16393.0,SC6027,Jewelry,46,76.85,Zambia,3535.1,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC7584,Jewelry,94,45.6,Zambia,4286.400000000001,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC9412,Jewelry,32,37.4,Zambia,1196.8,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC2296,Jewelry,56,13.81,Zambia,773.36,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC7979,Jewelry,55,30.69,Zambia,1687.95,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC8758,Jewelry,39,95.32,Zambia,3717.48,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC7638,Jewelry,94,99.17,Zambia,9321.98,2010-12,2010-12,1
537375,2010-12-06 12:55:00,17019.0,SC5462,Jewelry,27,29.13,Zambia,786.51,2010-12,2010-12,1
