InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536395,2010-12-01 10:47:00,13767.0,SC9578,Kitchenware,42,2.71,Zambia,113.82,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC1810,Kitchenware,6,54.01,Zambia,324.06,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC5566,Kitchenware,29,77.08,Zambia,2235.32,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC6097,Kitchenware,50,57.89,Zambia,2894.5,2010-12,2010-12,1
536560,2010-12-01 15:00:00,13093.0,SC5016,Kitchenware,1,17.96,Zambia,17.96,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC9844,Kitchenware,100,19.52,Zambia,1952.0,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8839,Kitchenware,98,60.89,Zambia,5967.22,2010-12,2010-12,1
536603,2010-12-02 08:40:00,17850.0,SC7931,Kitchenware,92,26.25,Zambia,2415.0,2010-12,2010-12,1
536698,2010-12-02 12:28:00,15363.0,SC4430,Kitchenware,85,46.16,Zambia,3923.6,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC6342,Kitchenware,91,42.14,Zambia,3834.74,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC2147,Kitchenware,15,93.1,Zambia,1396.5,2010-12,2010-12,1
536793,2010-12-02 15:39:00,16203.0,SC7199,Kitchenware,99,1.78,Zambia,176.22,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC5787,Kitchenware,53,7.46,Zambia,395.38,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC3904,Kitchenware,6,35.37,Zambia,212.22,2010-12,2010-12,1
537058,2010-12-05 11:51:00,13269.0,SC5704,Kitchenware,5,68.6,Zambia,343.0,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC7445,Kitchenware,60,74.12,Zambia,4447.200000000001,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC3993,Kitchenware,36,20.25,Zambia,729.0,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7457,Kitchenware,36,91.45,Zambia,3292.2000000000003,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC4022,Kitchenware,43,7.18,Zambia,308.74,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC1501,Kitchenware,30,48.45,Zambia,1453.5,2010-12,2010-12,1
537247,2010-12-06 10:34:00,13094.0,SC6223,Kitchenware,89,3.73,Zambia,331.97,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC3302,Kitchenware,50,35.78,Zambia,1789.0,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC4435,Kitchenware,60,27.83,Zambia,1669.8,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC1894,Kitchenware,6,31.32,Zambia,187.92,2010-12,2010-12,1
537388,2010-12-06 13:35:00,17682.0,SC7872,Kitchenware,15,27.45,Zambia,411.75,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC2117,Kitchenware,69,16.6,Zambia,1145.4,2010-12,2010-12,1
537422,2010-12-06 15:27:00,17812.0,SC1835,Kitchenware,9,87.59,Zambia,788.3100000000001,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC8436,Kitchenware,27,39.18,Zambia,1057.86,2010-12,2010-12,1
537617,2010-12-07 13:45:00,16086.0,SC1976,Kitchenware,55,51.14,Zambia,2812.7,2010-12,2010-12,1
537619,2010-12-07 13:53:00,13786.0,SC7011,Kitchenware,53,67.43,Zambia,3573.7900000000004,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC8005,Kitchenware,39,37.35,Zambia,1456.65,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC6532,Kitchenware,88,13.35,Zambia,1174.8,2010-12,2010-12,1
537680,2010-12-08 10:11:00,13599.0,SC1709,Kitchenware,44,47.24,Zambia,2078.56,2010-12,2010-12,1
537759,2010-12-08 11:42:00,13126.0,SC7197,Kitchenware,58,29.63,Zambia,1718.54,2010-12,2010-12,1
537769,2010-12-08 12:17:00,15021.0,SC5649,Kitchenware,33,29.77,Zambia,982.41,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC1155,Kitchenware,32,21.93,Zambia,701.76,2010-12,2010-12,1
537897,2010-12-09 10:37:00,12683.0,SC8566,Kitchenware,25,22.58,Zambia,564.5,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC8527,Kitchenware,48,83.9,Zambia,4027.2,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC4176,Kitchenware,46,17.17,Zambia,789.82,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC4819,Kitchenware,100,77.52,Zambia,7752.0,2010-12,2010-12,1
538151,2010-12-09 16:28:00,16163.0,SC1929,Kitchenware,84,50.03,Zambia,4202.52,2010-12,2010-12,1
538174,2010-12-10 09:35:00,12471.0,SC1870,Kitchenware,94,70.25,Zambia,6603.5,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC2276,Kitchenware,100,1.61,Zambia,161.0,2010-12,2010-12,1
538327,2010-12-10 13:58:00,15514.0,SC7058,Kitchenware,57,12.02,Zambia,685.14,2010-12,2010-12,1
538379,2010-12-12 11:26:00,17126.0,SC9026,Kitchenware,52,45.48,Zambia,2364.96,2010-12,2010-12,1
538409,2010-12-12 11:49:00,17236.0,SC6412,Kitchenware,83,82.19,Zambia,6821.77,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC5026,Kitchenware,33,7.88,Zambia,260.04,2010-12,2010-12,1
538514,2010-12-12 14:27:00,15044.0,SC1860,Kitchenware,98,47.69,Zambia,4673.62,2010-12,2010-12,1
538635,2010-12-13 13:32:00,17303.0,SC4020,Kitchenware,45,69.3,Zambia,3118.5,2010-12,2010-12,1
538639,2010-12-13 14:24:00,17179.0,SC6881,Kitchenware,79,10.34,Zambia,816.86,2010-12,2010-12,1
538652,2010-12-13 15:12:00,17890.0,SC7160,Kitchenware,54,62.66,Zambia,3383.64,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC5634,Kitchenware,72,92.25,Zambia,6642.0,2010-12,2010-12,1
538664,2010-12-13 15:46:00,14733.0,SC7160,Kitchenware,55,9.54,Zambia,524.6999999999999,2010-12,2010-12,1
538714,2010-12-14 11:01:00,14524.0,SC6198,Kitchenware,53,60.61,Zambia,3212.33,2010-12,2010-12,1
538783,2010-12-14 11:38:00,14961.0,SC1731,Kitchenware,90,92.9,Zambia,8361.0,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC7820,Kitchenware,99,12.33,Zambia,1220.67,2010-12,2010-12,1
538799,2010-12-14 11:48:00,15039.0,SC4896,Kitchenware,4,23.99,Zambia,95.96,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC8831,Kitchenware,63,23.96,Zambia,1509.48,2010-12,2010-12,1
538827,2010-12-14 12:59:00,14298.0,SC8113,Kitchenware,55,3.01,Zambia,165.54999999999998,2010-12,2010-12,1
538836,2010-12-14 13:09:00,12748.0,SC9123,Kitchenware,21,32.19,Zambia,675.99,2010-12,2010-12,1
538839,2010-12-14 13:10:00,14606.0,SC3769,Kitchenware,70,17.37,Zambia,1215.9,2010-12,2010-12,1
538852,2010-12-14 13:33:00,17372.0,SC6192,Kitchenware,75,70.17,Zambia,5262.75,2010-12,2010-12,1
538863,2010-12-14 14:15:00,16919.0,SC3502,Kitchenware,41,65.37,Zambia,2680.17,2010-12,2010-12,1
538917,2010-12-15 10:57:00,17449.0,SC8199,Kitchenware,50,37.59,Zambia,1879.5,2010-12,2010-12,1
538995,2010-12-15 12:05:00,13458.0,SC7228,Kitchenware,60,53.56,Zambia,3213.6000000000004,2010-12,2010-12,1
539010,2010-12-15 13:24:00,15005.0,SC7619,Kitchenware,62,16.46,Zambia,1020.52,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC8841,Kitchenware,68,98.16,Zambia,6674.88,2010-12,2010-12,1
539039,2010-12-15 15:00:00,13124.0,SC8124,Kitchenware,30,3.67,Zambia,110.1,2010-12,2010-12,1
539041,2010-12-15 15:34:00,15456.0,SC8534,Kitchenware,29,69.77,Zambia,2023.33,2010-12,2010-12,1
539053,2010-12-15 16:32:00,16725.0,SC9507,Kitchenware,59,63.78,Zambia,3763.02,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC2052,Kitchenware,56,53.75,Zambia,3010.0,2010-12,2010-12,1
539075,2010-12-15 17:28:00,17189.0,SC5449,Kitchenware,14,79.95,Zambia,1119.3,2010-12,2010-12,1
539078,2010-12-16 08:10:00,13408.0,SC5632,Kitchenware,73,12.75,Zambia,930.75,2010-12,2010-12,1
539086,2010-12-16 09:35:00,17001.0,SC8267,Kitchenware,88,75.31,Zambia,6627.280000000001,2010-12,2010-12,1
539087,2010-12-16 09:44:00,13093.0,SC7057,Kitchenware,52,20.56,Zambia,1069.12,2010-12,2010-12,1
539196,2010-12-16 12:09:00,18055.0,SC7560,Kitchenware,46,7.26,Zambia,333.96,2010-12,2010-12,1
539217,2010-12-16 12:46:00,15394.0,SC2850,Kitchenware,35,11.32,Zambia,396.2,2010-12,2010-12,1
539225,2010-12-16 13:02:00,15379.0,SC3910,Kitchenware,15,81.57,Zambia,1223.55,2010-12,2010-12,1
539247,2010-12-16 13:33:00,15311.0,SC6996,Kitchenware,81,60.86,Zambia,4929.66,2010-12,2010-12,1
539307,2010-12-16 17:43:00,13694.0,SC3337,Kitchenware,57,62.63,Zambia,3569.9100000000003,2010-12,2010-12,1
539374,2010-12-17 11:40:00,14769.0,SC1486,Kitchenware,97,25.27,Zambia,2451.19,2010-12,2010-12,1
539489,2010-12-20 09:41:00,16684.0,SC7020,Kitchenware,39,3.5,Zambia,136.5,2010-12,2010-12,1
539570,2010-12-20 12:05:00,15078.0,SC8354,Kitchenware,23,60.83,Zambia,1399.09,2010-12,2010-12,1
539653,2010-12-20 16:50:00,13564.0,SC7979,Kitchenware,29,82.39,Zambia,2389.31,2010-12,2010-12,1
539653,2010-12-20 16:50:00,13564.0,SC9595,Kitchenware,4,41.54,Zambia,166.16,2010-12,2010-12,1
