InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536382,2010-12-01 09:45:00,16098.0,SC8743,Shoes,51,10.56,Zambia,538.5600000000001,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC4618,Shoes,39,48.72,Zambia,1900.08,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC5327,Shoes,7,4.17,Zambia,29.19,2010-12,2010-12,1
536538,2010-12-01 13:54:00,14594.0,SC9196,Shoes,72,24.51,Zambia,1764.72,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC4719,Shoes,16,80.57,Zambia,1289.12,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC2920,Shoes,91,20.75,Zambia,1888.25,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC8623,Shoes,4,9.45,Zambia,37.8,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC1198,Shoes,82,22.02,Zambia,1805.64,2010-12,2010-12,1
536821,2010-12-02 17:17:00,17757.0,SC5281,Shoes,82,97.53,Zambia,7997.46,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC3557,Shoes,31,12.29,Zambia,380.99,2010-12,2010-12,1
536863,2010-12-03 11:19:00,17967.0,SC8962,Shoes,41,35.12,Zambia,1439.9199999999998,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC7332,Shoes,72,4.32,Zambia,311.04,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC6552,Shoes,7,55.89,Zambia,391.23,2010-12,2010-12,1
536956,2010-12-03 12:43:00,14210.0,SC8610,Shoes,94,67.95,Zambia,6387.3,2010-12,2010-12,1
536960,2010-12-03 12:48:00,16477.0,SC3811,Shoes,39,69.16,Zambia,2697.24,2010-12,2010-12,1
536970,2010-12-03 13:12:00,17949.0,SC4805,Shoes,71,57.4,Zambia,4075.4,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC5425,Shoes,13,33.55,Zambia,436.15,2010-12,2010-12,1
537026,2010-12-03 16:35:00,12395.0,SC6574,Shoes,63,55.77,Zambia,3513.51,2010-12,2010-12,1
537044,2010-12-05 10:52:00,18055.0,SC3211,Shoes,24,88.56,Zambia,2125.44,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC6643,Shoes,79,48.56,Zambia,3836.24,2010-12,2010-12,1
537055,2010-12-05 11:45:00,16814.0,SC1493,Shoes,86,34.33,Zambia,2952.38,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC1278,Shoes,97,96.26,Zambia,9337.22,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC7957,Shoes,39,43.89,Zambia,1711.71,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC2601,Shoes,24,20.89,Zambia,501.36,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7928,Shoes,100,85.86,Zambia,8586.0,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC2495,Shoes,21,17.76,Zambia,372.96,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC9293,Shoes,54,81.79,Zambia,4416.660000000001,2010-12,2010-12,1
537137,2010-12-05 12:43:00,16327.0,SC3984,Shoes,21,39.93,Zambia,838.53,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC4956,Shoes,59,79.28,Zambia,4677.52,2010-12,2010-12,1
537156,2010-12-05 13:08:00,17858.0,SC9355,Shoes,8,53.56,Zambia,428.48,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC3630,Shoes,56,40.68,Zambia,2278.08,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC1306,Shoes,71,26.17,Zambia,1858.07,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC4309,Shoes,60,84.42,Zambia,5065.2,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC4066,Shoes,57,91.55,Zambia,5218.349999999999,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC2394,Shoes,63,58.22,Zambia,3667.86,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC9790,Shoes,30,88.72,Zambia,2661.6,2010-12,2010-12,1
537262,2010-12-06 11:26:00,15039.0,SC4244,Shoes,11,19.26,Zambia,211.86,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC6673,Shoes,45,91.2,Zambia,4104.0,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC9045,Shoes,89,58.64,Zambia,5218.96,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC7396,Shoes,63,31.47,Zambia,1982.61,2010-12,2010-12,1
537382,2010-12-06 13:13:00,16710.0,SC5911,Shoes,21,27.25,Zambia,572.25,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC3214,Shoes,72,70.21,Zambia,5055.12,2010-12,2010-12,1
537392,2010-12-06 13:58:00,17068.0,SC1174,Shoes,83,8.93,Zambia,741.1899999999999,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC7835,Shoes,15,48.9,Zambia,733.5,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC2693,Shoes,56,49.1,Zambia,2749.6,2010-12,2010-12,1
537764,2010-12-08 12:06:00,16893.0,SC1977,Shoes,95,91.82,Zambia,8722.9,2010-12,2010-12,1
537801,2010-12-08 13:08:00,15221.0,SC6455,Shoes,39,98.55,Zambia,3843.45,2010-12,2010-12,1
537828,2010-12-08 14:43:00,15680.0,SC7104,Shoes,31,71.58,Zambia,2218.98,2010-12,2010-12,1
537830,2010-12-08 14:46:00,13649.0,SC7172,Shoes,28,18.9,Zambia,529.1999999999999,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC5881,Shoes,50,46.52,Zambia,2326.0,2010-12,2010-12,1
537865,2010-12-08 16:34:00,16011.0,SC4997,Shoes,49,76.53,Zambia,3749.97,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC7152,Shoes,32,57.84,Zambia,1850.88,2010-12,2010-12,1
537868,2010-12-08 16:49:00,12433.0,SC8434,Shoes,89,60.79,Zambia,5410.31,2010-12,2010-12,1
538009,2010-12-09 12:17:00,14911.0,SC8448,Shoes,56,29.52,Zambia,1653.12,2010-12,2010-12,1
538012,2010-12-09 12:32:00,14527.0,SC5328,Shoes,25,66.92,Zambia,1673.0,2010-12,2010-12,1
538068,2010-12-09 14:05:00,17978.0,SC3853,Shoes,53,12.09,Zambia,640.77,2010-12,2010-12,1
538069,2010-12-09 14:08:00,16795.0,SC8897,Shoes,21,62.07,Zambia,1303.47,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC6889,Shoes,94,61.94,Zambia,5822.36,2010-12,2010-12,1
538346,2010-12-10 14:53:00,17865.0,SC3791,Shoes,40,38.01,Zambia,1520.4,2010-12,2010-12,1
538354,2010-12-10 15:45:00,16873.0,SC7892,Shoes,93,84.44,Zambia,7852.92,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC6245,Shoes,2,25.79,Zambia,51.58,2010-12,2010-12,1
538508,2010-12-12 13:32:00,15998.0,SC4932,Shoes,92,64.39,Zambia,5923.88,2010-12,2010-12,1
538518,2010-12-12 16:14:00,14505.0,SC2354,Shoes,60,18.68,Zambia,1120.8,2010-12,2010-12,1
