InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536395,2010-12-01 10:47:00,13767.0,SC2030,Sports Equipment,57,24.14,Zambia,1375.98,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC2836,Sports Equipment,71,31.79,Zambia,2257.09,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC3082,Sports Equipment,49,94.42,Zambia,4626.58,2010-12,2010-12,1
536514,2010-12-01 12:40:00,17951.0,SC9528,Sports Equipment,30,40.04,Zambia,1201.2,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC1626,Sports Equipment,3,51.33,Zambia,153.99,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9906,Sports Equipment,37,8.4,Zambia,310.8,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC5759,Sports Equipment,18,3.99,Zambia,71.82000000000001,2010-12,2010-12,1
536575,2010-12-01 16:01:00,13777.0,SC1320,Sports Equipment,26,31.89,Zambia,829.14,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC3300,Sports Equipment,67,52.12,Zambia,3492.04,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC8196,Sports Equipment,100,49.42,Zambia,4942.0,2010-12,2010-12,1
536617,2010-12-02 10:17:00,13941.0,SC1557,Sports Equipment,4,86.68,Zambia,346.72,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC7222,Sports Equipment,49,4.29,Zambia,210.21,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC2495,Sports Equipment,81,35.41,Zambia,2868.21,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC5435,Sports Equipment,2,85.07,Zambia,170.14,2010-12,2010-12,1
536795,2010-12-02 15:40:00,15640.0,SC6243,Sports Equipment,99,10.51,Zambia,1040.49,2010-12,2010-12,1
536823,2010-12-02 17:22:00,13011.0,SC1452,Sports Equipment,2,85.14,Zambia,170.28,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC1057,Sports Equipment,80,81.89,Zambia,6551.2,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC5185,Sports Equipment,81,49.33,Zambia,3995.73,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC3274,Sports Equipment,80,58.26,Zambia,4660.8,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC3054,Sports Equipment,59,29.62,Zambia,1747.5800000000002,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC3626,Sports Equipment,28,19.29,Zambia,540.12,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC6866,Sports Equipment,25,31.61,Zambia,790.25,2010-12,2010-12,1
537047,2010-12-05 11:02:00,13069.0,SC6493,Sports Equipment,61,61.53,Zambia,3753.33,2010-12,2010-12,1
537130,2010-12-05 12:23:00,17796.0,SC4717,Sports Equipment,8,56.2,Zambia,449.6,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC9672,Sports Equipment,23,19.78,Zambia,454.94000000000005,2010-12,2010-12,1
537140,2010-12-05 12:53:00,12748.0,SC5117,Sports Equipment,39,29.73,Zambia,1159.47,2010-12,2010-12,1
537141,2010-12-05 12:57:00,15570.0,SC1075,Sports Equipment,97,64.39,Zambia,6245.83,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC8291,Sports Equipment,24,27.01,Zambia,648.24,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC9383,Sports Equipment,52,32.93,Zambia,1712.36,2010-12,2010-12,1
537202,2010-12-05 14:25:00,14506.0,SC2725,Sports Equipment,8,74.41,Zambia,595.28,2010-12,2010-12,1
537207,2010-12-05 15:06:00,17402.0,SC2918,Sports Equipment,72,52.73,Zambia,3796.56,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC2761,Sports Equipment,27,34.95,Zambia,943.65,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC3516,Sports Equipment,66,19.4,Zambia,1280.4,2010-12,2010-12,1
537225,2010-12-05 16:41:00,12748.0,SC5299,Sports Equipment,87,4.64,Zambia,403.68,2010-12,2010-12,1
