InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC9454,Toys,98,81.06,Zambia,7943.88,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC1749,Toys,58,61.67,Zambia,3576.86,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC6718,Toys,61,82.1,Zambia,5008.099999999999,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC8946,Toys,39,33.86,Zambia,1320.54,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC2702,Toys,21,69.5,Zambia,1459.5,2010-12,2010-12,1
536488,2010-12-01 12:31:00,17897.0,SC5524,Toys,22,16.62,Zambia,365.64,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC1607,Toys,64,79.57,Zambia,5092.48,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC1398,Toys,87,14.49,Zambia,1260.63,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC3850,Toys,12,93.47,Zambia,1121.64,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC8393,Toys,98,91.59,Zambia,8975.82,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC7132,Toys,83,71.88,Zambia,5966.04,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC4347,Toys,11,10.29,Zambia,113.19,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC9930,Toys,9,97.09,Zambia,873.8100000000001,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC1103,Toys,60,21.65,Zambia,1299.0,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC6869,Toys,98,97.37,Zambia,9542.26,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC9303,Toys,78,78.55,Zambia,6126.9,2010-12,2010-12,1
536769,2010-12-02 14:47:00,17581.0,SC4874,Toys,89,54.46,Zambia,4846.9400000000005,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC5211,Toys,39,97.53,Zambia,3803.67,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC9189,Toys,2,54.69,Zambia,109.38,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC9474,Toys,70,64.83,Zambia,4538.099999999999,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC6193,Toys,32,93.68,Zambia,2997.76,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC6606,Toys,9,32.86,Zambia,295.74,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC2714,Toys,25,61.28,Zambia,1532.0,2010-12,2010-12,1
537031,2010-12-03 16:45:00,16455.0,SC5303,Toys,53,20.36,Zambia,1079.08,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC2240,Toys,88,94.8,Zambia,8342.4,2010-12,2010-12,1
537131,2010-12-05 12:26:00,15716.0,SC5150,Toys,54,27.35,Zambia,1476.9,2010-12,2010-12,1
537133,2010-12-05 12:29:00,18156.0,SC6029,Toys,16,64.44,Zambia,1031.04,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2009,Toys,65,85.66,Zambia,5567.9,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9739,Toys,17,31.48,Zambia,535.16,2010-12,2010-12,1
