InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536408,2010-12-01 11:41:00,14307.0,SC7435,Books,75,88.79,Zimbabwe,6659.250000000001,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6807,Books,12,29.59,Zimbabwe,355.08,2010-12,2010-12,1
536460,2010-12-01 12:22:00,14849.0,SC5040,Books,85,33.63,Zimbabwe,2858.55,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC4048,Books,25,15.26,Zimbabwe,381.5,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3279,Books,72,18.08,Zimbabwe,1301.7599999999998,2010-12,2010-12,1
536542,2010-12-01 14:11:00,16456.0,SC6957,Books,94,44.61,Zimbabwe,4193.34,2010-12,2010-12,1
536576,2010-12-01 16:11:00,13777.0,SC4842,Books,67,29.48,Zimbabwe,1975.16,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC6676,Books,78,9.35,Zimbabwe,729.3,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC8269,Books,99,26.77,Zimbabwe,2650.23,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC6544,Books,6,26.73,Zimbabwe,160.38,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC3246,Books,32,94.06,Zimbabwe,3009.92,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC6524,Books,44,8.11,Zimbabwe,356.84,2010-12,2010-12,1
536643,2010-12-02 11:57:00,14390.0,SC4161,Books,76,96.91,Zimbabwe,7365.16,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC1232,Books,75,54.58,Zimbabwe,4093.5,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC6140,Books,68,93.07,Zimbabwe,6328.759999999999,2010-12,2010-12,1
536752,2010-12-02 14:06:00,17850.0,SC7641,Books,60,77.49,Zimbabwe,4649.4,2010-12,2010-12,1
536762,2010-12-02 14:40:00,16186.0,SC3676,Books,2,16.7,Zimbabwe,33.4,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC1725,Books,73,75.48,Zimbabwe,5510.04,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC6026,Books,58,23.98,Zimbabwe,1390.84,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC1809,Books,22,83.82,Zimbabwe,1844.04,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC1619,Books,52,46.62,Zimbabwe,2424.24,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC5895,Books,23,85.01,Zimbabwe,1955.23,2010-12,2010-12,1
536957,2010-12-03 12:43:00,17809.0,SC6544,Books,60,42.46,Zimbabwe,2547.6,2010-12,2010-12,1
536972,2010-12-03 13:42:00,16926.0,SC5525,Books,83,87.11,Zimbabwe,7230.13,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC7014,Books,15,27.5,Zimbabwe,412.5,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC4196,Books,2,31.0,Zimbabwe,62.0,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC1935,Books,67,81.21,Zimbabwe,5441.07,2010-12,2010-12,1
537059,2010-12-05 11:54:00,14813.0,SC1810,Books,61,89.87,Zimbabwe,5482.070000000001,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7637,Books,31,80.86,Zimbabwe,2506.66,2010-12,2010-12,1
537138,2010-12-05 12:44:00,17211.0,SC5547,Books,8,53.44,Zimbabwe,427.52,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC4301,Books,4,21.15,Zimbabwe,84.6,2010-12,2010-12,1
537219,2010-12-05 15:47:00,14081.0,SC8471,Books,17,18.1,Zimbabwe,307.70000000000005,2010-12,2010-12,1
537334,2010-12-06 12:06:00,16719.0,SC1668,Books,17,49.22,Zimbabwe,836.74,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC5740,Books,48,55.19,Zimbabwe,2649.12,2010-12,2010-12,1
537350,2010-12-06 12:23:00,14708.0,SC4498,Books,74,1.12,Zimbabwe,82.88000000000001,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC5672,Books,51,84.08,Zimbabwe,4288.08,2010-12,2010-12,1
537387,2010-12-06 13:34:00,13468.0,SC2797,Books,77,42.61,Zimbabwe,3280.97,2010-12,2010-12,1
537389,2010-12-06 13:41:00,17757.0,SC2125,Books,61,67.69,Zimbabwe,4129.09,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC9102,Books,51,49.1,Zimbabwe,2504.1,2010-12,2010-12,1
537397,2010-12-06 14:19:00,16817.0,SC3409,Books,61,15.88,Zimbabwe,968.68,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC7341,Books,93,5.63,Zimbabwe,523.59,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC7423,Books,73,29.01,Zimbabwe,2117.73,2010-12,2010-12,1
537429,2010-12-06 15:54:00,12748.0,SC5911,Books,27,91.68,Zimbabwe,2475.36,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC8453,Books,2,20.2,Zimbabwe,40.4,2010-12,2010-12,1
537457,2010-12-07 09:51:00,17511.0,SC5187,Books,87,37.46,Zimbabwe,3259.02,2010-12,2010-12,1
537465,2010-12-07 10:32:00,17735.0,SC9437,Books,72,81.28,Zimbabwe,5852.16,2010-12,2010-12,1
537595,2010-12-07 12:29:00,13569.0,SC9952,Books,24,72.21,Zimbabwe,1733.04,2010-12,2010-12,1
537617,2010-12-07 13:45:00,16086.0,SC7590,Books,46,85.45,Zimbabwe,3930.7,2010-12,2010-12,1
537623,2010-12-07 14:31:00,15858.0,SC1329,Books,23,27.22,Zimbabwe,626.06,2010-12,2010-12,1
537624,2010-12-07 14:41:00,12748.0,SC2565,Books,26,19.67,Zimbabwe,511.4200000000001,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC1830,Books,56,91.02,Zimbabwe,5097.12,2010-12,2010-12,1
537659,2010-12-07 16:43:00,18102.0,SC8853,Books,83,35.7,Zimbabwe,2963.1000000000004,2010-12,2010-12,1
537669,2010-12-08 08:58:00,16863.0,SC4088,Books,29,15.31,Zimbabwe,443.99,2010-12,2010-12,1
537685,2010-12-08 10:21:00,18077.0,SC2983,Books,77,68.61,Zimbabwe,5282.97,2010-12,2010-12,1
537759,2010-12-08 11:42:00,13126.0,SC5607,Books,69,75.39,Zimbabwe,5201.91,2010-12,2010-12,1
