InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536420,2010-12-01 12:03:00,16583.0,SC9050,Cloths,69,70.11,Zimbabwe,4837.59,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9055,Cloths,27,2.27,Zimbabwe,61.29,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC9414,Cloths,26,88.07,Zimbabwe,2289.82,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC7784,Cloths,53,14.74,Zimbabwe,781.22,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC1047,Cloths,76,53.17,Zimbabwe,4040.92,2010-12,2010-12,1
536778,2010-12-02 15:03:00,13138.0,SC2633,Cloths,84,69.25,Zimbabwe,5817.0,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC3585,Cloths,82,11.83,Zimbabwe,970.06,2010-12,2010-12,1
536800,2010-12-02 16:12:00,14829.0,SC1544,Cloths,59,74.91,Zimbabwe,4419.69,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC4037,Cloths,14,71.85,Zimbabwe,1005.9,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC4908,Cloths,14,64.3,Zimbabwe,900.1999999999999,2010-12,2010-12,1
536847,2010-12-03 09:31:00,17135.0,SC8239,Cloths,46,74.12,Zimbabwe,3409.5200000000004,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC1530,Cloths,58,95.85,Zimbabwe,5559.299999999999,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC7797,Cloths,46,60.93,Zimbabwe,2802.78,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC4532,Cloths,73,41.66,Zimbabwe,3041.18,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC9691,Cloths,24,25.45,Zimbabwe,610.8,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC9625,Cloths,18,85.15,Zimbabwe,1532.7,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC5526,Cloths,61,85.53,Zimbabwe,5217.33,2010-12,2010-12,1
537049,2010-12-05 11:04:00,16241.0,SC7093,Cloths,67,95.81,Zimbabwe,6419.27,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC1417,Cloths,10,21.02,Zimbabwe,210.2,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC2665,Cloths,31,61.36,Zimbabwe,1902.16,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC2559,Cloths,89,72.28,Zimbabwe,6432.92,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC7385,Cloths,28,81.79,Zimbabwe,2290.1200000000003,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC6368,Cloths,2,25.9,Zimbabwe,51.8,2010-12,2010-12,1
537195,2010-12-05 13:55:00,15311.0,SC5098,Cloths,16,79.27,Zimbabwe,1268.32,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC5564,Cloths,5,32.83,Zimbabwe,164.14999999999998,2010-12,2010-12,1
537222,2010-12-05 16:00:00,14404.0,SC2957,Cloths,41,30.8,Zimbabwe,1262.8,2010-12,2010-12,1
537239,2010-12-06 10:05:00,18219.0,SC8515,Cloths,100,65.28,Zimbabwe,6528.0,2010-12,2010-12,1
537265,2010-12-06 11:26:00,15919.0,SC5876,Cloths,50,7.91,Zimbabwe,395.5,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC5185,Cloths,9,2.67,Zimbabwe,24.03,2010-12,2010-12,1
537301,2010-12-06 11:38:00,15860.0,SC3250,Cloths,70,83.12,Zimbabwe,5818.400000000001,2010-12,2010-12,1
537354,2010-12-06 12:23:00,12748.0,SC8662,Cloths,55,22.34,Zimbabwe,1228.7,2010-12,2010-12,1
537369,2010-12-06 12:41:00,17860.0,SC7337,Cloths,37,69.01,Zimbabwe,2553.3700000000003,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC2692,Cloths,2,55.46,Zimbabwe,110.92,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC4289,Cloths,96,44.61,Zimbabwe,4282.56,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC6053,Cloths,33,30.85,Zimbabwe,1018.05,2010-12,2010-12,1
537458,2010-12-07 09:55:00,17091.0,SC2325,Cloths,69,68.01,Zimbabwe,4692.6900000000005,2010-12,2010-12,1
537459,2010-12-07 09:57:00,17470.0,SC6463,Cloths,51,26.13,Zimbabwe,1332.63,2010-12,2010-12,1
537484,2010-12-07 11:30:00,14733.0,SC2440,Cloths,8,3.73,Zimbabwe,29.84,2010-12,2010-12,1
537646,2010-12-07 15:39:00,17591.0,SC5439,Cloths,54,92.09,Zimbabwe,4972.860000000001,2010-12,2010-12,1
537673,2010-12-08 09:49:00,12709.0,SC5606,Cloths,28,36.04,Zimbabwe,1009.12,2010-12,2010-12,1
537683,2010-12-08 10:14:00,12921.0,SC7624,Cloths,29,44.74,Zimbabwe,1297.46,2010-12,2010-12,1
537781,2010-12-08 12:46:00,17341.0,SC4692,Cloths,48,51.73,Zimbabwe,2483.04,2010-12,2010-12,1
537793,2010-12-08 12:57:00,15032.0,SC1267,Cloths,41,31.84,Zimbabwe,1305.44,2010-12,2010-12,1
537800,2010-12-08 13:08:00,12748.0,SC2000,Cloths,16,5.36,Zimbabwe,85.76,2010-12,2010-12,1
537804,2010-12-08 13:17:00,12748.0,SC4589,Cloths,92,26.52,Zimbabwe,2439.84,2010-12,2010-12,1
537830,2010-12-08 14:46:00,13649.0,SC3014,Cloths,62,90.13,Zimbabwe,5588.06,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC8221,Cloths,47,26.05,Zimbabwe,1224.35,2010-12,2010-12,1
538011,2010-12-09 12:24:00,14896.0,SC7475,Cloths,14,63.5,Zimbabwe,889.0,2010-12,2010-12,1
538040,2010-12-09 13:08:00,16520.0,SC3815,Cloths,15,88.87,Zimbabwe,1333.0500000000002,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC4930,Cloths,81,54.21,Zimbabwe,4391.01,2010-12,2010-12,1
538068,2010-12-09 14:05:00,17978.0,SC2833,Cloths,100,7.75,Zimbabwe,775.0,2010-12,2010-12,1
538079,2010-12-09 14:27:00,17671.0,SC4154,Cloths,48,4.21,Zimbabwe,202.08,2010-12,2010-12,1
538095,2010-12-09 14:55:00,17097.0,SC1023,Cloths,72,16.1,Zimbabwe,1159.2,2010-12,2010-12,1
538104,2010-12-09 15:16:00,17950.0,SC5429,Cloths,83,97.47,Zimbabwe,8090.01,2010-12,2010-12,1
