InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536409,2010-12-01 11:45:00,17908.0,SC3129,Cosmetics,65,39.5,Zimbabwe,2567.5,2010-12,2010-12,1
536420,2010-12-01 12:03:00,16583.0,SC3535,Cosmetics,13,8.31,Zimbabwe,108.03,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC6543,Cosmetics,65,42.01,Zimbabwe,2730.65,2010-12,2010-12,1
536446,2010-12-01 12:15:00,15983.0,SC4704,Cosmetics,26,90.91,Zimbabwe,2363.66,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC7238,Cosmetics,47,40.85,Zimbabwe,1919.95,2010-12,2010-12,1
536530,2010-12-01 13:21:00,17905.0,SC3625,Cosmetics,20,57.21,Zimbabwe,1144.2,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC5169,Cosmetics,79,75.12,Zimbabwe,5934.4800000000005,2010-12,2010-12,1
536557,2010-12-01 14:41:00,17841.0,SC5665,Cosmetics,88,69.67,Zimbabwe,6130.96,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC5271,Cosmetics,54,58.6,Zimbabwe,3164.4,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC2637,Cosmetics,71,50.14,Zimbabwe,3559.94,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC8002,Cosmetics,22,49.21,Zimbabwe,1082.62,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC3513,Cosmetics,69,89.71,Zimbabwe,6189.99,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC9536,Cosmetics,71,17.06,Zimbabwe,1211.26,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC3268,Cosmetics,94,17.32,Zimbabwe,1628.08,2010-12,2010-12,1
536667,2010-12-02 12:09:00,15260.0,SC9835,Cosmetics,14,77.43,Zimbabwe,1084.02,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC9434,Cosmetics,95,67.32,Zimbabwe,6395.4,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC7744,Cosmetics,21,64.93,Zimbabwe,1363.5300000000002,2010-12,2010-12,1
536890,2010-12-03 11:48:00,14156.0,SC3986,Cosmetics,45,86.71,Zimbabwe,3901.95,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC9393,Cosmetics,75,70.0,Zimbabwe,5250.0,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC6722,Cosmetics,20,3.11,Zimbabwe,62.2,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC6085,Cosmetics,63,6.52,Zimbabwe,410.76,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC3250,Cosmetics,90,34.29,Zimbabwe,3086.1,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC3028,Cosmetics,77,89.18,Zimbabwe,6866.860000000001,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC9999,Cosmetics,92,30.13,Zimbabwe,2771.96,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC3776,Cosmetics,17,5.52,Zimbabwe,93.84,2010-12,2010-12,1
