InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536500,2010-12-01 12:35:00,17377.0,SC2204,Electronics,13,29.25,Zimbabwe,380.25,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC8134,Electronics,34,96.33,Zimbabwe,3275.22,2010-12,2010-12,1
536566,2010-12-01 15:21:00,16928.0,SC5600,Electronics,100,6.25,Zimbabwe,625.0,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC3210,Electronics,81,37.99,Zimbabwe,3077.19,2010-12,2010-12,1
536597,2010-12-01 17:35:00,18011.0,SC6885,Electronics,36,77.86,Zimbabwe,2802.96,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC5599,Electronics,48,6.22,Zimbabwe,298.56,2010-12,2010-12,1
536748,2010-12-02 13:45:00,15107.0,SC5064,Electronics,18,17.53,Zimbabwe,315.54,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC8474,Electronics,88,92.89,Zimbabwe,8174.32,2010-12,2010-12,1
536845,2010-12-02 19:18:00,17961.0,SC9279,Electronics,38,9.01,Zimbabwe,342.38,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC2197,Electronics,54,37.02,Zimbabwe,1999.08,2010-12,2010-12,1
536859,2010-12-03 10:43:00,12841.0,SC6789,Electronics,80,23.74,Zimbabwe,1899.2,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC7695,Electronics,83,23.0,Zimbabwe,1909.0,2010-12,2010-12,1
536947,2010-12-03 12:29:00,13013.0,SC2378,Electronics,35,29.49,Zimbabwe,1032.15,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC6019,Electronics,4,27.41,Zimbabwe,109.64,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC2660,Electronics,12,24.66,Zimbabwe,295.92,2010-12,2010-12,1
537045,2010-12-05 10:54:00,15038.0,SC6565,Electronics,87,8.21,Zimbabwe,714.2700000000001,2010-12,2010-12,1
537052,2010-12-05 11:15:00,16839.0,SC1378,Electronics,74,7.69,Zimbabwe,569.0600000000001,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC3587,Electronics,60,45.12,Zimbabwe,2707.2,2010-12,2010-12,1
537163,2010-12-05 13:21:00,17863.0,SC2093,Electronics,41,37.16,Zimbabwe,1523.56,2010-12,2010-12,1
537196,2010-12-05 13:55:00,15426.0,SC8487,Electronics,58,73.22,Zimbabwe,4246.76,2010-12,2010-12,1
537211,2010-12-05 15:18:00,16143.0,SC9846,Electronics,28,52.82,Zimbabwe,1478.96,2010-12,2010-12,1
