InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC9989,Furniture,21,5.09,Zimbabwe,106.89,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2327,Furniture,52,11.61,Zimbabwe,603.72,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC1526,Furniture,96,23.06,Zimbabwe,2213.76,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC9703,Furniture,28,16.31,Zimbabwe,456.68,2010-12,2010-12,1
536531,2010-12-01 13:23:00,15485.0,SC4100,Furniture,20,13.79,Zimbabwe,275.79999999999995,2010-12,2010-12,1
536551,2010-12-01 14:34:00,17346.0,SC3307,Furniture,79,57.97,Zimbabwe,4579.63,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC5331,Furniture,91,30.78,Zimbabwe,2800.98,2010-12,2010-12,1
536572,2010-12-01 15:40:00,16539.0,SC1382,Furniture,47,8.14,Zimbabwe,382.58,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC8929,Furniture,15,10.28,Zimbabwe,154.2,2010-12,2010-12,1
536621,2010-12-02 10:35:00,13108.0,SC2150,Furniture,73,20.64,Zimbabwe,1506.72,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC7005,Furniture,2,88.08,Zimbabwe,176.16,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC7145,Furniture,9,91.25,Zimbabwe,821.25,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC9883,Furniture,65,80.53,Zimbabwe,5234.45,2010-12,2010-12,1
536743,2010-12-02 13:32:00,17964.0,SC6159,Furniture,23,74.27,Zimbabwe,1708.2099999999998,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC2303,Furniture,23,28.99,Zimbabwe,666.77,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC9036,Furniture,43,21.08,Zimbabwe,906.44,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9152,Furniture,84,47.09,Zimbabwe,3955.56,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC9954,Furniture,69,85.14,Zimbabwe,5874.66,2010-12,2010-12,1
536837,2010-12-02 18:15:00,14395.0,SC9515,Furniture,96,71.44,Zimbabwe,6858.24,2010-12,2010-12,1
536839,2010-12-02 18:25:00,15093.0,SC4292,Furniture,86,29.63,Zimbabwe,2548.18,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC8625,Furniture,33,88.82,Zimbabwe,2931.06,2010-12,2010-12,1
536975,2010-12-03 14:04:00,14911.0,SC3774,Furniture,43,98.91,Zimbabwe,4253.13,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC1648,Furniture,60,40.61,Zimbabwe,2436.6,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC2355,Furniture,95,80.76,Zimbabwe,7672.200000000001,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC3690,Furniture,78,32.22,Zimbabwe,2513.16,2010-12,2010-12,1
537128,2010-12-05 12:15:00,12841.0,SC6931,Furniture,15,87.4,Zimbabwe,1311.0,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC9283,Furniture,83,69.04,Zimbabwe,5730.320000000001,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC7573,Furniture,4,35.49,Zimbabwe,141.96,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC2476,Furniture,68,43.94,Zimbabwe,2987.92,2010-12,2010-12,1
537200,2010-12-05 14:17:00,15867.0,SC9969,Furniture,25,12.81,Zimbabwe,320.25,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC9376,Furniture,39,6.17,Zimbabwe,240.63,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC8886,Furniture,26,70.04,Zimbabwe,1821.04,2010-12,2010-12,1
