InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536398,2010-12-01 10:52:00,13448.0,SC5364,Jewelry,16,55.28,Zimbabwe,884.48,2010-12,2010-12,1
536401,2010-12-01 11:21:00,15862.0,SC7009,Jewelry,67,42.98,Zimbabwe,2879.66,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC6279,Jewelry,28,4.31,Zimbabwe,120.68,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC7196,Jewelry,11,64.23,Zimbabwe,706.5300000000001,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC4874,Jewelry,4,96.0,Zimbabwe,384.0,2010-12,2010-12,1
536508,2010-12-01 12:38:00,17181.0,SC7951,Jewelry,52,98.71,Zimbabwe,5132.92,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9254,Jewelry,11,68.85,Zimbabwe,757.3499999999999,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC3444,Jewelry,5,9.32,Zimbabwe,46.6,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3424,Jewelry,67,30.6,Zimbabwe,2050.2000000000003,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC8277,Jewelry,15,8.26,Zimbabwe,123.9,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC2504,Jewelry,40,21.42,Zimbabwe,856.8000000000001,2010-12,2010-12,1
536571,2010-12-01 15:37:00,14696.0,SC2108,Jewelry,7,29.36,Zimbabwe,205.52,2010-12,2010-12,1
536582,2010-12-01 16:21:00,12947.0,SC7604,Jewelry,35,63.35,Zimbabwe,2217.25,2010-12,2010-12,1
536607,2010-12-02 09:29:00,17732.0,SC5650,Jewelry,57,6.15,Zimbabwe,350.55,2010-12,2010-12,1
536690,2010-12-02 12:25:00,17850.0,SC6592,Jewelry,54,93.07,Zimbabwe,5025.78,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC4735,Jewelry,63,80.38,Zimbabwe,5063.94,2010-12,2010-12,1
536749,2010-12-02 13:49:00,17976.0,SC7394,Jewelry,5,71.0,Zimbabwe,355.0,2010-12,2010-12,1
536787,2010-12-02 15:24:00,17850.0,SC7667,Jewelry,21,33.3,Zimbabwe,699.3,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC1614,Jewelry,99,44.13,Zimbabwe,4368.87,2010-12,2010-12,1
536808,2010-12-02 16:46:00,17659.0,SC3847,Jewelry,81,44.26,Zimbabwe,3585.06,2010-12,2010-12,1
536852,2010-12-03 09:51:00,12686.0,SC1872,Jewelry,1,44.9,Zimbabwe,44.9,2010-12,2010-12,1
536858,2010-12-03 10:36:00,13520.0,SC8930,Jewelry,32,44.2,Zimbabwe,1414.4,2010-12,2010-12,1
536980,2010-12-03 14:26:00,17819.0,SC1313,Jewelry,37,53.45,Zimbabwe,1977.65,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC6546,Jewelry,1,6.98,Zimbabwe,6.98,2010-12,2010-12,1
537022,2010-12-03 15:45:00,12725.0,SC9109,Jewelry,8,26.44,Zimbabwe,211.52,2010-12,2010-12,1
537036,2010-12-03 17:28:00,15545.0,SC8059,Jewelry,78,94.36,Zimbabwe,7360.08,2010-12,2010-12,1
537053,2010-12-05 11:38:00,16168.0,SC6617,Jewelry,83,18.23,Zimbabwe,1513.09,2010-12,2010-12,1
537153,2010-12-05 13:03:00,16718.0,SC3352,Jewelry,58,86.6,Zimbabwe,5022.799999999999,2010-12,2010-12,1
537204,2010-12-05 14:45:00,15555.0,SC1003,Jewelry,88,94.41,Zimbabwe,8308.08,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC8659,Jewelry,77,57.16,Zimbabwe,4401.32,2010-12,2010-12,1
537231,2010-12-06 09:21:00,13652.0,SC2520,Jewelry,32,82.72,Zimbabwe,2647.04,2010-12,2010-12,1
537242,2010-12-06 10:19:00,14748.0,SC2653,Jewelry,65,60.64,Zimbabwe,3941.6,2010-12,2010-12,1
537332,2010-12-06 11:58:00,14344.0,SC5752,Jewelry,78,18.87,Zimbabwe,1471.86,2010-12,2010-12,1
537346,2010-12-06 12:21:00,15301.0,SC8658,Jewelry,11,7.82,Zimbabwe,86.02000000000001,2010-12,2010-12,1
537362,2010-12-06 12:34:00,17596.0,SC2798,Jewelry,13,11.14,Zimbabwe,144.82,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC3295,Jewelry,3,33.38,Zimbabwe,100.14,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC6265,Jewelry,25,11.0,Zimbabwe,275.0,2010-12,2010-12,1
537396,2010-12-06 14:08:00,17223.0,SC3828,Jewelry,99,46.13,Zimbabwe,4566.87,2010-12,2010-12,1
537420,2010-12-06 15:18:00,17519.0,SC3114,Jewelry,28,40.74,Zimbabwe,1140.72,2010-12,2010-12,1
537441,2010-12-06 17:26:00,13564.0,SC9052,Jewelry,17,53.37,Zimbabwe,907.29,2010-12,2010-12,1
537468,2010-12-07 10:36:00,12567.0,SC9177,Jewelry,83,84.96,Zimbabwe,7051.679999999999,2010-12,2010-12,1
