InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536370,2010-12-01 08:45:00,12583.0,SC7422,Kitchenware,91,94.45,Zimbabwe,8594.95,2010-12,2010-12,1
536378,2010-12-01 09:37:00,14688.0,SC6682,Kitchenware,42,92.07,Zimbabwe,3866.94,2010-12,2010-12,1
536395,2010-12-01 10:47:00,13767.0,SC1330,Kitchenware,77,34.3,Zimbabwe,2641.1,2010-12,2010-12,1
536406,2010-12-01 11:33:00,17850.0,SC2480,Kitchenware,64,49.13,Zimbabwe,3144.32,2010-12,2010-12,1
536408,2010-12-01 11:41:00,14307.0,SC2432,Kitchenware,47,59.86,Zimbabwe,2813.42,2010-12,2010-12,1
536522,2010-12-01 12:49:00,15012.0,SC9017,Kitchenware,34,97.02,Zimbabwe,3298.68,2010-12,2010-12,1
536587,2010-12-01 16:33:00,14142.0,SC2735,Kitchenware,72,70.93,Zimbabwe,5106.960000000001,2010-12,2010-12,1
536612,2010-12-02 09:44:00,17850.0,SC2862,Kitchenware,35,39.16,Zimbabwe,1370.6,2010-12,2010-12,1
536613,2010-12-02 09:44:00,17855.0,SC5403,Kitchenware,16,32.66,Zimbabwe,522.56,2010-12,2010-12,1
536633,2010-12-02 11:20:00,14901.0,SC4423,Kitchenware,42,81.62,Zimbabwe,3428.04,2010-12,2010-12,1
536732,2010-12-02 12:47:00,15544.0,SC4466,Kitchenware,2,91.89,Zimbabwe,183.78,2010-12,2010-12,1
536741,2010-12-02 13:11:00,13117.0,SC8675,Kitchenware,75,48.39,Zimbabwe,3629.25,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC5708,Kitchenware,58,25.79,Zimbabwe,1495.82,2010-12,2010-12,1
536831,2010-12-02 17:40:00,16029.0,SC1889,Kitchenware,54,68.75,Zimbabwe,3712.5,2010-12,2010-12,1
536846,2010-12-02 19:59:00,14573.0,SC4529,Kitchenware,5,54.36,Zimbabwe,271.8,2010-12,2010-12,1
536857,2010-12-03 10:33:00,16883.0,SC6170,Kitchenware,83,46.47,Zimbabwe,3857.01,2010-12,2010-12,1
536945,2010-12-03 12:24:00,14083.0,SC5527,Kitchenware,16,16.74,Zimbabwe,267.84,2010-12,2010-12,1
536973,2010-12-03 13:43:00,17787.0,SC5399,Kitchenware,70,69.86,Zimbabwe,4890.2,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC4212,Kitchenware,4,70.68,Zimbabwe,282.72,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC5521,Kitchenware,65,12.58,Zimbabwe,817.7,2010-12,2010-12,1
537057,2010-12-05 11:49:00,15351.0,SC6326,Kitchenware,45,4.58,Zimbabwe,206.1,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC4221,Kitchenware,28,47.24,Zimbabwe,1322.72,2010-12,2010-12,1
537154,2010-12-05 13:05:00,15808.0,SC7490,Kitchenware,92,21.58,Zimbabwe,1985.36,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC4442,Kitchenware,51,9.88,Zimbabwe,503.88000000000005,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC5980,Kitchenware,43,35.95,Zimbabwe,1545.85,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC2415,Kitchenware,89,28.73,Zimbabwe,2556.9700000000003,2010-12,2010-12,1
537208,2010-12-05 15:12:00,15889.0,SC5516,Kitchenware,97,12.65,Zimbabwe,1227.05,2010-12,2010-12,1
537212,2010-12-05 15:21:00,12720.0,SC3580,Kitchenware,34,25.62,Zimbabwe,871.08,2010-12,2010-12,1
537224,2010-12-05 16:24:00,13174.0,SC6950,Kitchenware,48,90.02,Zimbabwe,4320.96,2010-12,2010-12,1
537254,2010-12-06 11:01:00,15898.0,SC3275,Kitchenware,93,72.85,Zimbabwe,6775.049999999999,2010-12,2010-12,1
537365,2010-12-06 12:38:00,15078.0,SC6039,Kitchenware,31,31.89,Zimbabwe,988.59,2010-12,2010-12,1
537374,2010-12-06 12:55:00,17259.0,SC2759,Kitchenware,53,33.06,Zimbabwe,1752.18,2010-12,2010-12,1
537391,2010-12-06 13:53:00,16550.0,SC2908,Kitchenware,45,70.75,Zimbabwe,3183.75,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC1422,Kitchenware,94,19.63,Zimbabwe,1845.22,2010-12,2010-12,1
537400,2010-12-06 14:36:00,17191.0,SC2130,Kitchenware,49,25.08,Zimbabwe,1228.9199999999998,2010-12,2010-12,1
537428,2010-12-06 15:38:00,17320.0,SC4982,Kitchenware,96,9.49,Zimbabwe,911.04,2010-12,2010-12,1
537509,2010-12-07 11:41:00,13756.0,SC4718,Kitchenware,40,69.51,Zimbabwe,2780.4,2010-12,2010-12,1
537538,2010-12-07 11:49:00,15353.0,SC6659,Kitchenware,38,30.74,Zimbabwe,1168.12,2010-12,2010-12,1
537594,2010-12-07 12:28:00,12647.0,SC2478,Kitchenware,8,79.62,Zimbabwe,636.96,2010-12,2010-12,1
537598,2010-12-07 12:37:00,14135.0,SC5777,Kitchenware,68,59.38,Zimbabwe,4037.84,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC7844,Kitchenware,62,26.26,Zimbabwe,1628.12,2010-12,2010-12,1
537604,2010-12-07 13:01:00,13488.0,SC1712,Kitchenware,38,76.69,Zimbabwe,2914.22,2010-12,2010-12,1
