InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536404,2010-12-01 11:29:00,16218.0,SC3350,Shoes,65,59.32,Zimbabwe,3855.8,2010-12,2010-12,1
536415,2010-12-01 11:57:00,12838.0,SC6249,Shoes,54,27.39,Zimbabwe,1479.06,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC4882,Shoes,90,11.73,Zimbabwe,1055.7,2010-12,2010-12,1
536527,2010-12-01 13:04:00,12662.0,SC4018,Shoes,99,87.57,Zimbabwe,8669.429999999998,2010-12,2010-12,1
536532,2010-12-01 13:24:00,12433.0,SC1926,Shoes,27,98.24,Zimbabwe,2652.48,2010-12,2010-12,1
536569,2010-12-01 15:35:00,16274.0,SC2138,Shoes,62,94.59,Zimbabwe,5864.58,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC7663,Shoes,24,75.86,Zimbabwe,1820.64,2010-12,2010-12,1
536638,2010-12-02 11:41:00,16244.0,SC8115,Shoes,57,49.87,Zimbabwe,2842.59,2010-12,2010-12,1
536674,2010-12-02 12:16:00,15923.0,SC6515,Shoes,17,45.64,Zimbabwe,775.88,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC3410,Shoes,96,98.24,Zimbabwe,9431.04,2010-12,2010-12,1
536733,2010-12-02 12:50:00,15738.0,SC1240,Shoes,86,91.2,Zimbabwe,7843.2,2010-12,2010-12,1
536745,2010-12-02 13:38:00,17235.0,SC4734,Shoes,48,99.17,Zimbabwe,4760.16,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC1065,Shoes,50,30.11,Zimbabwe,1505.5,2010-12,2010-12,1
536796,2010-12-02 15:46:00,15574.0,SC9456,Shoes,73,30.61,Zimbabwe,2234.53,2010-12,2010-12,1
536804,2010-12-02 16:34:00,14031.0,SC7749,Shoes,64,82.96,Zimbabwe,5309.44,2010-12,2010-12,1
536856,2010-12-03 10:26:00,13370.0,SC2487,Shoes,94,26.24,Zimbabwe,2466.56,2010-12,2010-12,1
536981,2010-12-03 14:26:00,14723.0,SC9410,Shoes,3,21.65,Zimbabwe,64.94999999999999,2010-12,2010-12,1
