InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536401,2010-12-01 11:21:00,15862.0,SC6165,Sports Equipment,8,6.43,Zimbabwe,51.44,2010-12,2010-12,1
536409,2010-12-01 11:45:00,17908.0,SC3491,Sports Equipment,8,63.63,Zimbabwe,509.04,2010-12,2010-12,1
536464,2010-12-01 12:23:00,17968.0,SC6250,Sports Equipment,75,18.94,Zimbabwe,1420.5,2010-12,2010-12,1
536561,2010-12-01 15:06:00,12921.0,SC8547,Sports Equipment,41,92.47,Zimbabwe,3791.27,2010-12,2010-12,1
536600,2010-12-02 08:32:00,17850.0,SC8823,Sports Equipment,48,91.73,Zimbabwe,4403.04,2010-12,2010-12,1
536623,2010-12-02 10:39:00,15601.0,SC8764,Sports Equipment,89,46.37,Zimbabwe,4126.929999999999,2010-12,2010-12,1
536624,2010-12-02 10:45:00,13418.0,SC8765,Sports Equipment,8,78.65,Zimbabwe,629.2,2010-12,2010-12,1
536637,2010-12-02 11:35:00,18041.0,SC1430,Sports Equipment,21,67.14,Zimbabwe,1409.94,2010-12,2010-12,1
536681,2010-12-02 12:22:00,17287.0,SC9614,Sports Equipment,4,69.83,Zimbabwe,279.32,2010-12,2010-12,1
536750,2010-12-02 14:04:00,17850.0,SC3165,Sports Equipment,7,60.94,Zimbabwe,426.58,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC9894,Sports Equipment,85,10.49,Zimbabwe,891.65,2010-12,2010-12,1
536848,2010-12-03 09:39:00,13408.0,SC7524,Sports Equipment,51,81.49,Zimbabwe,4155.99,2010-12,2010-12,1
536988,2010-12-03 15:05:00,17238.0,SC5854,Sports Equipment,5,64.7,Zimbabwe,323.5,2010-12,2010-12,1
536989,2010-12-03 15:10:00,17238.0,SC2018,Sports Equipment,36,23.24,Zimbabwe,836.64,2010-12,2010-12,1
536990,2010-12-03 15:14:00,12793.0,SC1683,Sports Equipment,91,37.85,Zimbabwe,3444.35,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC2273,Sports Equipment,28,4.9,Zimbabwe,137.20000000000002,2010-12,2010-12,1
537026,2010-12-03 16:35:00,12395.0,SC1707,Sports Equipment,38,24.42,Zimbabwe,927.96,2010-12,2010-12,1
537037,2010-12-05 10:03:00,17243.0,SC4637,Sports Equipment,83,90.8,Zimbabwe,7536.4,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC9534,Sports Equipment,69,96.29,Zimbabwe,6644.01,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC6481,Sports Equipment,93,9.01,Zimbabwe,837.93,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC2684,Sports Equipment,69,57.15,Zimbabwe,3943.35,2010-12,2010-12,1
537054,2010-12-05 11:40:00,16931.0,SC8568,Sports Equipment,19,37.28,Zimbabwe,708.32,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC3656,Sports Equipment,84,25.05,Zimbabwe,2104.2000000000003,2010-12,2010-12,1
537065,2010-12-05 11:57:00,12567.0,SC7421,Sports Equipment,56,6.74,Zimbabwe,377.44,2010-12,2010-12,1
537077,2010-12-05 11:59:00,17062.0,SC4972,Sports Equipment,61,78.16,Zimbabwe,4767.76,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC3651,Sports Equipment,79,21.15,Zimbabwe,1670.85,2010-12,2010-12,1
537126,2010-12-05 12:13:00,18118.0,SC6336,Sports Equipment,21,26.24,Zimbabwe,551.04,2010-12,2010-12,1
537199,2010-12-05 14:06:00,15894.0,SC3046,Sports Equipment,15,57.43,Zimbabwe,861.45,2010-12,2010-12,1
537201,2010-12-05 14:19:00,12472.0,SC1282,Sports Equipment,22,39.9,Zimbabwe,877.8,2010-12,2010-12,1
537255,2010-12-06 11:03:00,14443.0,SC5541,Sports Equipment,1,68.48,Zimbabwe,68.48,2010-12,2010-12,1
537257,2010-12-06 11:10:00,17691.0,SC9407,Sports Equipment,35,50.61,Zimbabwe,1771.35,2010-12,2010-12,1
537351,2010-12-06 12:23:00,16898.0,SC6938,Sports Equipment,23,13.11,Zimbabwe,301.53,2010-12,2010-12,1
537376,2010-12-06 12:59:00,16722.0,SC6112,Sports Equipment,58,70.67,Zimbabwe,4098.86,2010-12,2010-12,1
537377,2010-12-06 13:01:00,15882.0,SC2414,Sports Equipment,18,55.55,Zimbabwe,999.9,2010-12,2010-12,1
537381,2010-12-06 13:13:00,14667.0,SC6016,Sports Equipment,42,5.42,Zimbabwe,227.64,2010-12,2010-12,1
537394,2010-12-06 14:00:00,13089.0,SC5894,Sports Equipment,96,36.62,Zimbabwe,3515.5199999999995,2010-12,2010-12,1
537395,2010-12-06 14:05:00,15356.0,SC8932,Sports Equipment,9,29.17,Zimbabwe,262.53000000000003,2010-12,2010-12,1
537399,2010-12-06 14:31:00,13030.0,SC2178,Sports Equipment,87,21.38,Zimbabwe,1860.06,2010-12,2010-12,1
537404,2010-12-06 14:46:00,17191.0,SC7425,Sports Equipment,72,34.89,Zimbabwe,2512.08,2010-12,2010-12,1
537421,2010-12-06 15:25:00,17218.0,SC1444,Sports Equipment,12,38.66,Zimbabwe,463.92,2010-12,2010-12,1
537446,2010-12-07 09:13:00,18055.0,SC1470,Sports Equipment,8,85.75,Zimbabwe,686.0,2010-12,2010-12,1
537447,2010-12-07 09:21:00,13963.0,SC3022,Sports Equipment,14,15.99,Zimbabwe,223.86,2010-12,2010-12,1
537457,2010-12-07 09:51:00,17511.0,SC9966,Sports Equipment,53,14.72,Zimbabwe,780.1600000000001,2010-12,2010-12,1
537463,2010-12-07 10:08:00,12681.0,SC9718,Sports Equipment,77,17.81,Zimbabwe,1371.37,2010-12,2010-12,1
537603,2010-12-07 12:49:00,14673.0,SC9754,Sports Equipment,37,33.47,Zimbabwe,1238.39,2010-12,2010-12,1
537607,2010-12-07 13:18:00,15965.0,SC5893,Sports Equipment,45,33.23,Zimbabwe,1495.35,2010-12,2010-12,1
537628,2010-12-07 15:02:00,16293.0,SC8547,Sports Equipment,37,25.28,Zimbabwe,935.36,2010-12,2010-12,1
537738,2010-12-08 11:02:00,17706.0,SC6537,Sports Equipment,100,3.14,Zimbabwe,314.0,2010-12,2010-12,1
537762,2010-12-08 12:01:00,16558.0,SC7756,Sports Equipment,2,17.04,Zimbabwe,34.08,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC3570,Sports Equipment,77,94.15,Zimbabwe,7249.55,2010-12,2010-12,1
537773,2010-12-08 12:36:00,16016.0,SC7881,Sports Equipment,23,30.76,Zimbabwe,707.48,2010-12,2010-12,1
537775,2010-12-08 12:41:00,17722.0,SC6156,Sports Equipment,12,17.34,Zimbabwe,208.08,2010-12,2010-12,1
537806,2010-12-08 13:21:00,13113.0,SC7483,Sports Equipment,40,53.39,Zimbabwe,2135.6,2010-12,2010-12,1
537852,2010-12-08 15:56:00,17340.0,SC7172,Sports Equipment,67,80.12,Zimbabwe,5368.04,2010-12,2010-12,1
537855,2010-12-08 15:59:00,15996.0,SC1585,Sports Equipment,24,61.61,Zimbabwe,1478.64,2010-12,2010-12,1
537885,2010-12-09 09:34:00,12942.0,SC8785,Sports Equipment,31,17.58,Zimbabwe,544.9799999999999,2010-12,2010-12,1
537891,2010-12-09 10:05:00,13319.0,SC7686,Sports Equipment,70,99.71,Zimbabwe,6979.7,2010-12,2010-12,1
537898,2010-12-09 10:42:00,17377.0,SC3549,Sports Equipment,40,5.13,Zimbabwe,205.2,2010-12,2010-12,1
537955,2010-12-09 11:28:00,16782.0,SC3688,Sports Equipment,86,37.61,Zimbabwe,3234.46,2010-12,2010-12,1
538008,2010-12-09 12:17:00,12683.0,SC4831,Sports Equipment,4,12.21,Zimbabwe,48.84,2010-12,2010-12,1
538051,2010-12-09 13:24:00,18041.0,SC7768,Sports Equipment,18,83.56,Zimbabwe,1504.08,2010-12,2010-12,1
538065,2010-12-09 13:57:00,13982.0,SC6191,Sports Equipment,2,62.95,Zimbabwe,125.9,2010-12,2010-12,1
538067,2010-12-09 13:59:00,15288.0,SC5150,Sports Equipment,57,26.99,Zimbabwe,1538.4299999999998,2010-12,2010-12,1
538086,2010-12-09 14:44:00,12872.0,SC2425,Sports Equipment,38,90.56,Zimbabwe,3441.28,2010-12,2010-12,1
538184,2010-12-10 10:21:00,17880.0,SC9718,Sports Equipment,27,51.55,Zimbabwe,1391.85,2010-12,2010-12,1
538199,2010-12-10 11:02:00,14082.0,SC8639,Sports Equipment,89,49.52,Zimbabwe,4407.280000000001,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC6952,Sports Equipment,55,33.61,Zimbabwe,1848.55,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC4364,Sports Equipment,51,42.19,Zimbabwe,2151.69,2010-12,2010-12,1
538201,2010-12-10 11:12:00,15723.0,SC8507,Sports Equipment,73,43.04,Zimbabwe,3141.92,2010-12,2010-12,1
538207,2010-12-10 11:33:00,12748.0,SC6934,Sports Equipment,36,68.91,Zimbabwe,2480.76,2010-12,2010-12,1
538210,2010-12-10 11:44:00,14256.0,SC3432,Sports Equipment,73,46.86,Zimbabwe,3420.78,2010-12,2010-12,1
538343,2010-12-10 14:29:00,13448.0,SC8970,Sports Equipment,97,91.63,Zimbabwe,8888.109999999999,2010-12,2010-12,1
538347,2010-12-10 14:54:00,17220.0,SC4839,Sports Equipment,67,1.13,Zimbabwe,75.71,2010-12,2010-12,1
538374,2010-12-12 11:17:00,14159.0,SC2875,Sports Equipment,89,40.16,Zimbabwe,3574.24,2010-12,2010-12,1
538378,2010-12-12 11:26:00,14577.0,SC2059,Sports Equipment,2,44.6,Zimbabwe,89.2,2010-12,2010-12,1
538397,2010-12-12 11:44:00,12753.0,SC1509,Sports Equipment,59,80.39,Zimbabwe,4743.01,2010-12,2010-12,1
538449,2010-12-12 12:24:00,17085.0,SC7742,Sports Equipment,1,36.89,Zimbabwe,36.89,2010-12,2010-12,1
538488,2010-12-12 12:41:00,13715.0,SC3117,Sports Equipment,72,25.02,Zimbabwe,1801.44,2010-12,2010-12,1
538509,2010-12-12 13:37:00,14413.0,SC8680,Sports Equipment,77,59.46,Zimbabwe,4578.42,2010-12,2010-12,1
