InvoiceNo,InvoiceDate,CustomerID,StockCode,Description,Quantity,UnitPrice,Country,TotalPrice,OrderPeriod,CohortPeriod,CohortIndex
536378,2010-12-01 09:37:00,14688.0,SC1126,Toys,64,76.55,Zimbabwe,4899.2,2010-12,2010-12,1
536412,2010-12-01 11:49:00,17920.0,SC2905,Toys,99,4.82,Zimbabwe,477.18,2010-12,2010-12,1
536425,2010-12-01 12:08:00,13758.0,SC2728,Toys,1,82.22,Zimbabwe,82.22,2010-12,2010-12,1
536520,2010-12-01 12:43:00,14729.0,SC6562,Toys,53,67.04,Zimbabwe,3553.1200000000003,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC1388,Toys,35,85.18,Zimbabwe,2981.3,2010-12,2010-12,1
536528,2010-12-01 13:17:00,15525.0,SC9233,Toys,18,18.03,Zimbabwe,324.54,2010-12,2010-12,1
536539,2010-12-01 14:03:00,15165.0,SC3790,Toys,64,87.36,Zimbabwe,5591.04,2010-12,2010-12,1
536590,2010-12-01 16:52:00,13065.0,SC2836,Toys,69,82.33,Zimbabwe,5680.77,2010-12,2010-12,1
536591,2010-12-01 16:57:00,14606.0,SC6186,Toys,73,57.09,Zimbabwe,4167.570000000001,2010-12,2010-12,1
536602,2010-12-02 08:34:00,17850.0,SC9193,Toys,51,45.96,Zimbabwe,2343.96,2010-12,2010-12,1
536618,2010-12-02 10:17:00,17017.0,SC5150,Toys,78,67.71,Zimbabwe,5281.379999999999,2010-12,2010-12,1
536620,2010-12-02 10:27:00,14135.0,SC1922,Toys,4,22.92,Zimbabwe,91.68,2010-12,2010-12,1
536636,2010-12-02 11:23:00,15070.0,SC7174,Toys,32,53.71,Zimbabwe,1718.72,2010-12,2010-12,1
536685,2010-12-02 12:23:00,17850.0,SC8780,Toys,61,86.34,Zimbabwe,5266.74,2010-12,2010-12,1
536754,2010-12-02 14:09:00,14449.0,SC1001,Toys,83,10.78,Zimbabwe,894.7399999999999,2010-12,2010-12,1
536782,2010-12-02 15:18:00,17567.0,SC1652,Toys,99,22.92,Zimbabwe,2269.0800000000004,2010-12,2010-12,1
536783,2010-12-02 15:19:00,15061.0,SC1539,Toys,23,45.29,Zimbabwe,1041.67,2010-12,2010-12,1
536784,2010-12-02 15:20:00,15061.0,SC2286,Toys,3,1.06,Zimbabwe,3.18,2010-12,2010-12,1
536813,2010-12-02 16:59:00,15646.0,SC9258,Toys,100,7.53,Zimbabwe,753.0,2010-12,2010-12,1
536819,2010-12-02 17:12:00,13402.0,SC8129,Toys,92,28.15,Zimbabwe,2589.8,2010-12,2010-12,1
536874,2010-12-03 11:35:00,16891.0,SC7677,Toys,37,8.1,Zimbabwe,299.7,2010-12,2010-12,1
536943,2010-12-03 12:11:00,17884.0,SC8504,Toys,19,25.84,Zimbabwe,490.96,2010-12,2010-12,1
536976,2010-12-03 14:18:00,14723.0,SC9920,Toys,47,6.0,Zimbabwe,282.0,2010-12,2010-12,1
536984,2010-12-03 14:35:00,17841.0,SC3785,Toys,26,99.45,Zimbabwe,2585.7000000000003,2010-12,2010-12,1
536993,2010-12-03 15:19:00,14396.0,SC2748,Toys,41,40.69,Zimbabwe,1668.29,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC3273,Toys,29,74.46,Zimbabwe,2159.34,2010-12,2010-12,1
537034,2010-12-03 17:20:00,13081.0,SC7290,Toys,86,10.48,Zimbabwe,901.28,2010-12,2010-12,1
537042,2010-12-05 10:45:00,13838.0,SC5939,Toys,61,5.63,Zimbabwe,343.43,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC8931,Toys,76,96.99,Zimbabwe,7371.24,2010-12,2010-12,1
537050,2010-12-05 11:10:00,14800.0,SC5029,Toys,55,40.45,Zimbabwe,2224.75,2010-12,2010-12,1
537111,2010-12-05 12:08:00,14810.0,SC4987,Toys,20,78.4,Zimbabwe,1568.0,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC6111,Toys,44,92.56,Zimbabwe,4072.64,2010-12,2010-12,1
537135,2010-12-05 12:35:00,17059.0,SC2078,Toys,45,19.78,Zimbabwe,890.1,2010-12,2010-12,1
537144,2010-12-05 13:00:00,15880.0,SC7526,Toys,51,33.51,Zimbabwe,1709.01,2010-12,2010-12,1
